,SITE,SIDE,MPA_STATUS,year,value,SITE_SIDE
0,BIXBY,CEN,reference,2007.0,18.58333333333333,BIXBY_CEN
1,BIXBY,CEN,reference,2008.0,8.083333333333332,BIXBY_CEN
2,BIXBY,CEN,reference,2019.0,22.166666666666668,BIXBY_CEN
3,BLUEFISH,DC,SMR,1999.0,67.625,BLUEFISH_DC
4,BLUEFISH,DC,SMR,2000.0,50.75,BLUEFISH_DC
5,BLUEFISH,DC,SMR,2001.0,62.75,BLUEFISH_DC
6,BLUEFISH,DC,SMR,2002.0,151.24999999999997,BLUEFISH_DC
7,BLUEFISH,DC,SMR,2003.0,72.91666666666664,BLUEFISH_DC
8,BLUEFISH,DC,SMR,2004.0,0.0,BLUEFISH_DC
9,BLUEFISH,DC,SMR,2005.0,39.83333333333335,BLUEFISH_DC
10,BLUEFISH,DC,SMR,2006.0,29.749999999999996,BLUEFISH_DC
11,BLUEFISH,DC,SMR,2007.0,5.916666666666667,BLUEFISH_DC
12,BLUEFISH,DC,SMR,2008.0,24.0,BLUEFISH_DC
13,BLUEFISH,DC,SMR,2009.0,22.999999999999993,BLUEFISH_DC
14,BLUEFISH,DC,SMR,2010.0,23.416666666666668,BLUEFISH_DC
15,BLUEFISH,DC,SMR,2011.0,29.166666666666664,BLUEFISH_DC
16,BLUEFISH,DC,SMR,2013.0,116.83333333333331,BLUEFISH_DC
17,BLUEFISH,DC,SMR,2014.0,43.749999999999986,BLUEFISH_DC
18,BLUEFISH,DC,SMR,2015.0,49.41666666666667,BLUEFISH_DC
19,BLUEFISH,DC,SMR,2016.0,89.49999999999997,BLUEFISH_DC
20,BLUEFISH,DC,SMR,2017.0,20.749999999999996,BLUEFISH_DC
21,BLUEFISH,DC,SMR,2018.0,26.583333333333336,BLUEFISH_DC
22,BLUEFISH,DC,SMR,2019.0,39.16666666666667,BLUEFISH_DC
23,BLUEFISH,UC,SMR,1999.0,76.625,BLUEFISH_UC
24,BLUEFISH,UC,SMR,2000.0,17.875,BLUEFISH_UC
25,BLUEFISH,UC,SMR,2001.0,41.625,BLUEFISH_UC
26,BLUEFISH,UC,SMR,2002.0,148.6666666666667,BLUEFISH_UC
27,BLUEFISH,UC,SMR,2003.0,105.5,BLUEFISH_UC
28,BLUEFISH,UC,SMR,2004.0,0.0,BLUEFISH_UC
29,BLUEFISH,UC,SMR,2005.0,41.33333333333334,BLUEFISH_UC
30,BLUEFISH,UC,SMR,2006.0,15.250000000000002,BLUEFISH_UC
31,BLUEFISH,UC,SMR,2007.0,21.749999999999996,BLUEFISH_UC
32,BLUEFISH,UC,SMR,2008.0,13.333333333333334,BLUEFISH_UC
33,BLUEFISH,UC,SMR,2009.0,29.91666666666666,BLUEFISH_UC
34,BLUEFISH,UC,SMR,2010.0,77.74999999999999,BLUEFISH_UC
35,BLUEFISH,UC,SMR,2011.0,12.666666666666668,BLUEFISH_UC
36,BLUEFISH,UC,SMR,2012.0,23.0,BLUEFISH_UC
37,BLUEFISH,UC,SMR,2013.0,81.66666666666666,BLUEFISH_UC
38,BLUEFISH,UC,SMR,2014.0,103.08333333333333,BLUEFISH_UC
39,BLUEFISH,UC,SMR,2015.0,56.66666666666668,BLUEFISH_UC
40,BLUEFISH,UC,SMR,2016.0,123.41666666666666,BLUEFISH_UC
41,BLUEFISH,UC,SMR,2017.0,36.33333333333334,BLUEFISH_UC
42,BLUEFISH,UC,SMR,2018.0,45.83333333333334,BLUEFISH_UC
43,BLUEFISH,UC,SMR,2019.0,28.583333333333336,BLUEFISH_UC
44,MALPASO,CEN,reference,2006.0,21.0,MALPASO_CEN
45,MALPASO,CEN,reference,2007.0,6.499999999999999,MALPASO_CEN
46,MALPASO,CEN,reference,2008.0,5.749999999999999,MALPASO_CEN
47,MALPASO,CEN,reference,2009.0,17.249999999999996,MALPASO_CEN
48,MALPASO,CEN,reference,2010.0,42.08333333333335,MALPASO_CEN
49,MALPASO,CEN,reference,2011.0,23.916666666666664,MALPASO_CEN
50,MALPASO,CEN,reference,2012.0,12.833333333333332,MALPASO_CEN
51,MALPASO,CEN,reference,2013.0,121.41666666666667,MALPASO_CEN
52,MALPASO,CEN,reference,2014.0,87.24999999999999,MALPASO_CEN
53,MALPASO,CEN,reference,2015.0,96.66666666666667,MALPASO_CEN
54,MALPASO,CEN,reference,2016.0,45.83333333333334,MALPASO_CEN
55,MALPASO,CEN,reference,2017.0,12.833333333333332,MALPASO_CEN
56,MALPASO,CEN,reference,2018.0,35.583333333333336,MALPASO_CEN
57,MALPASO,CEN,reference,2019.0,9.416666666666666,MALPASO_CEN
58,MONASTERY,DC,SMR,1999.0,50.75,MONASTERY_DC
59,MONASTERY,DC,SMR,2000.0,48.875,MONASTERY_DC
60,MONASTERY,DC,SMR,2001.0,59.75,MONASTERY_DC
61,MONASTERY,DC,SMR,2002.0,157.66666666666666,MONASTERY_DC
62,MONASTERY,DC,SMR,2003.0,59.66666666666666,MONASTERY_DC
63,MONASTERY,DC,SMR,2004.0,0.0,MONASTERY_DC
64,MONASTERY,DC,SMR,2005.0,41.58333333333332,MONASTERY_DC
65,MONASTERY,DC,SMR,2006.0,25.333333333333332,MONASTERY_DC
66,MONASTERY,DC,SMR,2007.0,21.333333333333332,MONASTERY_DC
67,MONASTERY,DC,SMR,2008.0,22.666666666666664,MONASTERY_DC
68,MONASTERY,DC,SMR,2009.0,23.83333333333333,MONASTERY_DC
69,MONASTERY,DC,SMR,2010.0,61.75000000000003,MONASTERY_DC
70,MONASTERY,DC,SMR,2011.0,49.99999999999999,MONASTERY_DC
71,MONASTERY,DC,SMR,2012.0,42.83333333333334,MONASTERY_DC
72,MONASTERY,DC,SMR,2013.0,142.08333333333331,MONASTERY_DC
73,MONASTERY,DC,SMR,2014.0,107.24999999999996,MONASTERY_DC
74,MONASTERY,DC,SMR,2015.0,116.99999999999997,MONASTERY_DC
75,MONASTERY,DC,SMR,2016.0,51.41666666666667,MONASTERY_DC
76,MONASTERY,DC,SMR,2017.0,37.58333333333334,MONASTERY_DC
77,MONASTERY,DC,SMR,2018.0,36.166666666666664,MONASTERY_DC
78,MONASTERY,DC,SMR,2019.0,20.833333333333332,MONASTERY_DC
79,MONASTERY,UC,SMR,1999.0,45.125,MONASTERY_UC
80,MONASTERY,UC,SMR,2000.0,63.25,MONASTERY_UC
81,MONASTERY,UC,SMR,2001.0,63.125,MONASTERY_UC
82,MONASTERY,UC,SMR,2002.0,121.58333333333334,MONASTERY_UC
83,MONASTERY,UC,SMR,2003.0,26.416666666666664,MONASTERY_UC
84,MONASTERY,UC,SMR,2004.0,0.0,MONASTERY_UC
85,MONASTERY,UC,SMR,2005.0,25.166666666666664,MONASTERY_UC
86,MONASTERY,UC,SMR,2006.0,17.916666666666668,MONASTERY_UC
87,MONASTERY,UC,SMR,2007.0,51.24999999999999,MONASTERY_UC
88,MONASTERY,UC,SMR,2008.0,20.33333333333333,MONASTERY_UC
89,MONASTERY,UC,SMR,2009.0,26.916666666666668,MONASTERY_UC
90,MONASTERY,UC,SMR,2010.0,57.333333333333336,MONASTERY_UC
91,MONASTERY,UC,SMR,2011.0,19.083333333333332,MONASTERY_UC
92,MONASTERY,UC,SMR,2013.0,147.9166666666667,MONASTERY_UC
93,MONASTERY,UC,SMR,2014.0,81.41666666666664,MONASTERY_UC
94,MONASTERY,UC,SMR,2015.0,84.66666666666664,MONASTERY_UC
95,MONASTERY,UC,SMR,2016.0,41.99999999999997,MONASTERY_UC
