marine_site_name,site_code,latitude,longitude,mpa_designation,mpa_region,georegion,island,start_date,end_date,number_samples
Alegria,ALEG,34.46714,-120.27738000000001,reference,South Coast,CA South,Mainland,2002-12-03,2018-12-07,33
Anchor Point,SNAP,33.267136,-119.48723000000001,reference,South Coast,CA Channel Islands South,San_Nicolas,2014-12-02,2019-02-15,11
Andrew Molera,MOL,36.280609999999996,-121.86317,SMR,Central Coast,CA Central,Mainland,2002-11-19,2018-11-23,39
Arroyo Hondo,ARHO,34.473440000000004,-120.1454,reference,South Coast,CA South,Mainland,2002-12-02,2018-12-05,32
Bird Rock,CTBR,33.45145,-118.48763000000001,SMCA,South Coast,CA Channel Islands South,Catalina,2002-10-18,2008-04-03,10
Blowhole,BLOH,37.70118,-123.00383000000001,SC,North Central Coast,CA North Central,Southeast_Farallon,2017-12-16,2018-02-28,2
Boat House,BOA,34.55388,-120.61166999999999,reference,Central Coast,CA Central,Mainland,2002-11-07,2018-12-04,38
Bodega,BML,38.3182,-123.07365,SMR,North Central Coast,CA North Central,Mainland,2003-06-18,2019-06-16,23
Bodega Head,BOD,38.3104,-123.0824,reference,North Central Coast,CA North Central,Mainland,2011-06-20,2011-06-20,1
Bolinas Point,BOL,37.90354,-122.72721000000001,SMCA,North Central Coast,CA North Central,Mainland,2006-06-14,2018-06-18,13
Boy Scout Camp,CLBS,33.00112,-118.54831999999999,reference,South Coast,CA Channel Islands South,San_Clemente,2011-06-05,2019-03-19,19
Cabrillo I,CAB1,32.669470000000004,-117.2455,SMR,South Coast,CA South,Mainland,2002-11-03,2019-03-05,78
Cabrillo II,CAB2,32.66766,-117.24526000000002,SMR,South Coast,CA South,Mainland,2002-11-03,2019-02-20,80
Cabrillo III,CAB3,32.66583,-117.24417,SMR,South Coast,CA South,Mainland,2002-11-02,2019-02-20,73
Cardiff Reef,CARE,32.99984,-117.27866999999999,reference,South Coast,CA South,Mainland,2002-11-02,2018-11-06,32
Carpinteria,CARP,34.387029999999996,-119.51406999999999,reference,South Coast,CA South,Mainland,2002-12-04,2018-12-06,34
Cat Rock,ANCR,34.00557,-119.41925,reference,South Coast,CA Channel Islands North,Anacapa,2003-01-28,2018-11-07,22
Cayucos,CAY,35.447390000000006,-120.94981999999999,reference,Central Coast,CA Central,Mainland,2002-11-20,2018-11-25,40
