year,mean,max,min,area
1985,-0.04983236483628969,0.44085167167105554,-0.34084055972792787,California State Waters
1990,0.5335802228690872,1.7548890800477082,-0.08801583594057136,California State Waters
1995,-0.38848714041315346,0.10272432780979424,-0.8473651249111626,California State Waters
2000,0.36292950825991377,3.8654510929430526,-0.020957223729872566,California State Waters
2005,0.24759529987560194,0.7527416394419865,-0.18184858730917042,California State Waters
2010,-0.05255534193675204,0.20003247799741936,-0.3983093114447324,California State Waters
2015,-0.215357436152166,0.5105077766116654,-0.59264687787561,California State Waters
2020,0.3729949532819175,1.8516221667445283,-0.45411997336147836,California State Waters
2025,-0.3114810360461097,0.2060121216603933,-0.7968059701171276,California State Waters
2030,0.24125230707434475,3.9178515888108754,-0.34448681352702515,California State Waters
2035,-0.10499508020031602,0.3690359594399483,-0.559104609548179,California State Waters
2040,0.9900145264853157,3.9494372355445844,0.049282530094877305,California State Waters
2045,-0.5169332171160672,0.031780932211282184,-0.8750974665854897,California State Waters
2050,0.7318723984694748,1.7936526699305926,-0.09172457606000783,California State Waters
2055,-0.024934858725870385,0.764412492907735,-0.38226412596026366,California State Waters
2060,0.19402731906602644,0.8569240218950319,-0.23146021911126993,California State Waters
2065,-0.011138035822189626,1.0181496825911354,-0.3730900462221712,California State Waters
2070,-0.058326266510495925,0.568015656947289,-0.5713811938321721,California State Waters
2075,-0.0399961483023943,0.7342259295215982,-0.5871573866351466,California State Waters
2080,-0.11129567028632364,0.3326773220781353,-0.4848194206584728,California State Waters
2085,0.2188439557210714,2.286077897374956,-0.34832928282927506,California State Waters
2090,8.274880265031278e-05,0.4737087482087656,-0.42965962193894675,California State Waters
2095,-0.07017779656718297,0.36296013632992796,-0.4295321022934833,California State Waters
2100,0.2853813528744133,1.0174242050250053,-0.25156113246505757,California State Waters
1985,-0.04950949836944782,0.44085167167105554,-0.31940754630222923,All California MPAs
1990,0.5377205975735867,1.7548890800477082,-0.08801583594057136,All California MPAs
1995,-0.4177899618230499,0.10272432780979424,-0.8473651249111626,All California MPAs
2000,0.47971608463446314,3.8654510929430526,-0.020957223729872566,All California MPAs
2005,0.22118421418142423,0.7527416394419865,-0.20894605895138169,All California MPAs
2010,-0.05863162933858068,0.2282170783599776,-0.36011738032241464,All California MPAs
2015,-0.22551385959370335,0.14563574733429158,-0.59264687787561,All California MPAs
2020,0.4055852034249095,1.8180617480017982,-0.2986958531266763,All California MPAs
2025,-0.33395157748872534,0.11050018930664497,-0.7968059701171276,All California MPAs
2030,0.3359316902999524,3.9178515888108754,-0.2327195652610619,All California MPAs
2035,-0.11127229274352542,0.3690359594399483,-0.559104609548179,All California MPAs
2040,0.9318867741324811,3.4739109846883243,0.049282530094877305,All California MPAs
2045,-0.5029815866036413,0.031780932211282184,-0.8634792849065602,All California MPAs
2050,0.6648344325744532,1.6764587204880406,-0.09172457606000783,All California MPAs
2055,0.0011121130982075266,0.764412492907735,-0.3627187326935781,All California MPAs
2060,0.22292832545806177,0.657985073810199,-0.09055218152584274,All California MPAs
2065,-0.0659005833814604,0.797043113941461,-0.3730900462221712,All California MPAs
2070,-0.027111441735624894,0.568015656947289,-0.5499253868832235,All California MPAs
2075,-0.07299553872949455,0.4758905276623067,-0.5871573866351466,All California MPAs
2080,-0.12023459061210064,0.3326773220781353,-0.4848194206584728,All California MPAs
2085,0.27496113439487446,2.286077897374956,-0.34832928282927506,All California MPAs
2090,-0.009790380944907636,0.456704632230274,-0.42965962193894675,All California MPAs
2095,-0.06582336847035203,0.36296013632992796,-0.4295321022934833,All California MPAs
2100,0.2957105431979372,1.0174242050250053,-0.25156113246505757,All California MPAs
1985,0.030081883976727987,0.295856006774862,-0.2701144390214211,Channel Islands MPAs
1990,0.6289885504259959,1.2009205709186632,0.20604431727321756,Channel Islands MPAs
1995,-0.418386430729121,-0.16966703205740793,-0.5733459338787926,Channel Islands MPAs
2000,0.19567760017436964,0.5914388836887635,-0.020957223729872566,Channel Islands MPAs
2005,0.24502396828171147,0.6167973177963071,-0.20894605895138169,Channel Islands MPAs
2010,0.01709394149224509,0.2282170783599776,-0.22615688317418112,Channel Islands MPAs
2015,-0.1739498963695143,-0.08153747003433459,-0.2785784614304293,Channel Islands MPAs
2020,0.11926406142432111,0.2958446590929199,-0.06327893933033955,Channel Islands MPAs
2025,-0.20046608892537862,0.11050018930664497,-0.49780422621781917,Channel Islands MPAs
2030,-0.020243459740080745,0.2508460138955811,-0.2327195652610619,Channel Islands MPAs
2035,0.06778816928944478,0.3690359594399483,-0.13173834176007873,Channel Islands MPAs
2040,0.6490751812881994,2.7921888805618087,0.049282530094877305,Channel Islands MPAs
2045,-0.5111985631044336,-0.3556486264937521,-0.8205494238061758,Channel Islands MPAs
