year,mean,max,min,area
1985,0.40081644696491764,0.8407507102964402,0.0014209562887579352,California State Waters
1990,-0.6724516790527794,-0.11633100888081316,-1.071509022548689,California State Waters
1995,0.48143922428729424,0.9541493929040552,-0.40500985740471407,California State Waters
2000,0.14304920660992398,0.7546160584553334,-0.38542697025930295,California State Waters
2005,-0.42201907630289703,0.020766138312311,-0.8785346270749574,California State Waters
2010,-0.3925632438198806,0.05654794438011379,-0.8210790055563528,California State Waters
2015,1.589814117968123,1.9541910949300547,1.3110993647576876,California State Waters
2020,-1.1730919407173763,-0.537686188732188,-1.9307192996534113,California State Waters
2025,1.4691766120283296,2.218190246518949,0.7423228779307642,California State Waters
2030,0.15637813285867813,0.8796158898243931,-0.7732043220923952,California State Waters
2035,-0.0323085747638556,0.31792003541344016,-0.34016115469760067,California State Waters
2040,-1.5766117902082628,-1.016736938032608,-2.0492587692422966,California State Waters
2045,2.1574623018250993,2.699109977979427,1.3593287170292676,California State Waters
2050,-0.96714185176185,-0.3689298389249345,-1.756579042917533,California State Waters
2055,0.14871773953895434,1.0449877621829593,-1.0303750341382791,California State Waters
2060,0.26112448223659757,0.995286274289743,-0.36021510701798043,California State Waters
2065,-0.4441996878054752,-0.05532361808968389,-0.9025173952202508,California State Waters
2070,0.8279291127682972,1.471417167455888,0.20086528536928938,California State Waters
2075,-0.23082429149261394,0.32026369119617115,-0.6974747815852957,California State Waters
2080,0.25147788580039804,0.888117352101581,-0.22425702645622714,California State Waters
2085,0.41487033996105016,0.7532725426783351,0.06529387088003702,California State Waters
2090,-0.5282188084713215,-0.10653601038994154,-1.09196501821795,California State Waters
2095,0.33457209098253204,0.827275978774356,-0.102975696940101,California State Waters
2100,0.22263805288610522,1.0711453860995572,-0.43640626671006544,California State Waters
1985,0.2697970645063152,0.40436799328901785,0.0014209562887579352,Channel Islands Bioregion
1990,-0.44718236992540766,-0.11633100888081316,-0.7653053634648348,Channel Islands Bioregion
1995,0.2211400495411995,0.7584950723456689,-0.40500985740471407,Channel Islands Bioregion
2000,0.3597737305561859,0.6791176185962868,-0.05398052350159688,Channel Islands Bioregion
2005,-0.6043345195087563,-0.3947917562805472,-0.8785346270749574,Channel Islands Bioregion
2010,-0.5331309485289345,-0.12410693233757542,-0.8210790055563528,Channel Islands Bioregion
2015,1.499081231406761,1.7964125670600968,1.3110993647576876,Channel Islands Bioregion
2020,-0.979157148485541,-0.765693439845279,-1.1527608821081188,Channel Islands Bioregion
2025,1.131605980887656,1.6906557267573294,0.7423228779307642,Channel Islands Bioregion
2030,0.6264975890986002,0.8796158898243931,0.17191463802949158,Channel Islands Bioregion
2035,-0.05378269896214596,0.21824511023770654,-0.34016115469760067,Channel Islands Bioregion
2040,-1.5382410517915777,-1.1739816361532895,-2.0228195462408305,Channel Islands Bioregion
2045,1.8693331364362076,2.410301711667012,1.3593287170292676,Channel Islands Bioregion
2050,-1.0582055838958158,-0.649913420039173,-1.6955905051724223,Channel Islands Bioregion
2055,0.7438503149696848,1.0449877621829593,0.4452633405550177,Channel Islands Bioregion
2060,0.34319545735734425,0.6518281525598653,0.06478304791126988,Channel Islands Bioregion
2065,-0.6350254881954114,-0.3633435108689742,-0.9025173952202508,Channel Islands Bioregion
2070,0.4639630241214502,0.8362740414817438,0.20086528536928938,Channel Islands Bioregion
2075,-0.28969727146013813,0.32026369119617115,-0.6974747815852957,Channel Islands Bioregion
2080,0.393722343320827,0.888117352101581,-0.1317748320981913,Channel Islands Bioregion
2085,0.39026340218922434,0.740592367052038,0.08741196140372054,Channel Islands Bioregion
2090,-0.3865785403165396,-0.10653601038994154,-0.5689982221459964,Channel Islands Bioregion
2095,0.5791116597886481,0.827275978774356,0.25636736037029806,Channel Islands Bioregion
2100,-0.10364485427297208,0.1353788564400631,-0.31241581374495553,Channel Islands Bioregion
1985,0.40057845163636824,0.8407507102964402,0.2570630635385278,South Coast Bioregion
1990,-0.5103118864224285,-0.3801081389717176,-0.7783089675052093,South Coast Bioregion
1995,0.4016172781405937,0.7765703791516927,0.13247302188129595,South Coast Bioregion
2000,0.2115679074526507,0.5316845281655489,-0.18346869467585947,South Coast Bioregion
2005,-0.5920505232196037,-0.30226145222874834,-0.8562399864618264,South Coast Bioregion
2010,-0.577492646686531,-0.3374703631123275,-0.7122588664167111,South Coast Bioregion
