year,mean,max,min,area
1980,17.18147244048893,20.63758738141382,12.340299772458508,California State Waters
1981,17.406243688521393,23.040678068906868,11.421409414767494,California State Waters
1982,16.859337768451105,21.600676648241627,11.462177989355089,California State Waters
1983,16.3851878733823,20.445924817846173,12.617934051025832,California State Waters
1984,17.394255997625496,21.818330653008704,12.315805006297994,California State Waters
1985,17.2597331682681,22.59188720405463,12.872401433897279,California State Waters
1986,17.355829144630924,21.8709311386295,13.13888629704273,California State Waters
1987,17.514403196581988,21.52849970105655,13.323341491214476,California State Waters
1988,17.184770142613594,20.909729488407454,12.977062044927916,California State Waters
1989,18.661004289583477,23.766479821506486,12.979818474244853,California State Waters
1990,16.559619894902422,21.656877203385967,11.51239320109673,California State Waters
1991,16.68365449285367,21.936454553884275,11.98047590276766,California State Waters
1992,15.63183678150908,19.55084629346571,12.86522383341532,California State Waters
1993,16.621559706897035,22.398230227594617,11.959666879382647,California State Waters
1994,17.811026378475542,24.218395668611297,11.955311759500594,California State Waters
1995,17.4250684692123,22.660155382695773,12.668695396514734,California State Waters
1996,17.456936276677325,22.490627191570326,12.869910899117464,California State Waters
1997,16.555637007654155,21.265946004317065,12.744771451947132,California State Waters
1998,19.05798579375809,23.492725281845733,12.692680900171384,California State Waters
1999,19.485467011624934,25.59682635521108,11.6374882706322,California State Waters
2000,16.985841140476953,22.085933132132002,12.111830812613897,California State Waters
2001,17.810745266027805,23.073338466642234,12.894549524384137,California State Waters
2002,17.045797547054836,21.035134701417622,13.097098719935957,California State Waters
2003,18.63616527551979,24.560064083384667,13.11743881852034,California State Waters
2004,17.281544664126724,22.484525821037355,12.00509355757901,California State Waters
2005,17.36574823278522,22.726155632901524,12.528271266819896,California State Waters
2006,17.553397632673974,23.07134246540631,12.736176962343944,California State Waters
2007,17.26203135168458,21.595106839047496,12.533426927611561,California State Waters
2008,17.714936934586415,23.379167801641557,11.980124104525112,California State Waters
2009,16.25292875056031,20.947860529978787,11.337379481494054,California State Waters
2010,17.005134495253692,21.626649382408303,12.559091191625093,California State Waters
2011,18.777115337130002,24.45093146944207,12.856718907284538,California State Waters
2012,18.075356285929477,23.756232367420655,11.726911635073385,California State Waters
2013,18.043642599299588,22.288277724616858,13.26235270345547,California State Waters
2014,17.23207409450137,22.40512586884478,12.359149604480573,California State Waters
2015,18.893722512609052,22.57154228901124,15.055493597891786,California State Waters
2016,18.060628790986957,22.88719148106942,13.687858820749446,California State Waters
2017,17.573905341694335,22.718434647752552,11.921612240406818,California State Waters
2018,17.53760607760336,22.603825573153003,12.017732822862033,California State Waters
2019,17.771321243502733,24.009163589647372,12.09299955457875,California State Waters
2020,17.134443779047803,22.761961740334446,11.49068318727347,California State Waters
2021,17.94611794052633,22.53024675336259,13.391418983597692,California State Waters
2022,19.06483341280834,23.828926164363807,14.14627825992594,California State Waters
2023,21.168470646743103,25.577633521872034,16.132609049816647,California State Waters
2024,18.524053137798656,22.73828376013427,13.842157885652927,California State Waters
2025,18.718093496025766,22.769167724599015,14.325693821436094,California State Waters
2026,18.980289505271486,23.668113981944693,13.106380186322868,California State Waters
2027,18.572155709397894,24.760232156393243,12.898693002629976,California State Waters
2028,17.34530797303677,22.233704932890458,12.52810014774705,California State Waters
2029,18.029538524720444,22.69081147005746,13.428909881445351,California State Waters
2030,19.62897228475667,25.025471756650568,12.87093687104392,California State Waters
2031,18.295629785776885,23.390239530097148,12.596896514584119,California State Waters
2032,17.31273411901432,21.939246853419863,12.593744458795745,California State Waters
2033,18.00750658872901,22.943463396983034,11.733796605739775,California State Waters
2034,18.061328401826017,23.0405073811952,11.899552815969162,California State Waters
2035,19.47758755790236,24.24665790541287,14.196914050382526,California State Waters
2036,18.105258666971316,23.446501385080527,12.931883612211703,California State Waters
2037,19.990650985745834,25.860586176807406,13.675219948163967,California State Waters
2038,19.078724206348394,24.85395645316228,12.300658796956153,California State Waters
2039,18.278268515983083,22.429152921482224,13.460606037466068,California State Waters
2040,17.67346926972776,22.653054145041306,12.256198373443544,California State Waters
2041,16.884747556445703,22.078186767369942,12.07024369881539,California State Waters
2042,18.393299449186117,24.46477904366294,12.548864148190964,California State Waters
2043,19.931645391675556,24.304525910258608,13.895162386250282,California State Waters
2044,18.60977148577356,23.561319051244404,13.982685581260732,California State Waters
2045,19.135257204997966,23.72205662356975,14.114213390792965,California State Waters
2046,18.84421944668057,23.61972365116063,13.756399498486408,California State Waters
2047,19.84355795499866,24.733498308554363,14.762353526135312,California State Waters
2048,20.06225876425322,24.307806611636014,14.853510061670503,California State Waters
2049,19.427623741022096,24.78286228529952,14.657596408889507,California State Waters
2050,18.25738060638739,23.522421703736768,13.095486105173581,California State Waters
2051,18.474358380719178,23.585033876794878,13.374706438862788,California State Waters
2052,19.804364681992332,25.49684701979723,13.971407410678664,California State Waters
2053,18.05024450911809,22.91679014728759,13.499966163961913,California State Waters
2054,18.275910824520036,22.671245035370767,12.645714927272637,California State Waters
2055,19.10726906407294,25.036149285635222,11.60836589732387,California State Waters
2056,18.065181667328826,24.119155141918117,12.246385801759603,California State Waters
2057,18.85154141020186,23.663109296831657,13.690150163994918,California State Waters
2058,18.58203203630014,23.268479680875284,13.8668268667889,California State Waters
2059,19.026204868594533,24.428576689022663,12.930966131525203,California State Waters
2060,19.852263679304272,25.174507442337756,14.327811435037075,California State Waters
2061,18.090282042619595,23.009289976272502,13.370226053339067,California State Waters
2062,18.325394067328872,23.254165080996103,12.938334279495281,California State Waters
2063,18.553319151140563,23.350810459720222,13.16704652302437,California State Waters
2064,19.922144187687895,26.085328179964225,13.940966431550448,California State Waters
2065,19.016097467052177,24.772488858332252,13.21794507139648,California State Waters
2066,18.27994518740336,23.5492449071724,12.776720142059274,California State Waters
2067,18.720756807720417,23.684269146597167,14.03691237099955,California State Waters
2068,18.62411527576812,24.423354650298908,12.505086103054136,California State Waters
2069,19.525874607182484,24.617601385723674,13.860808576792602,California State Waters
2070,18.885320066949056,23.563287735645343,13.225342844836083,California State Waters
2071,20.311429980606796,25.919170161711627,13.413972795090812,California State Waters
2072,19.557180218040305,24.988682395680918,12.531781829133463,California State Waters
2073,18.758765554785775,23.406854131340452,13.617472484819741,California State Waters
2074,19.77008425453205,25.351236183740244,13.234417741366137,California State Waters
2075,19.845356306590304,24.352831733023578,14.409894478341707,California State Waters
2076,19.185132879036818,24.363351292049376,13.411981598356503,California State Waters
2077,19.272132567677875,23.239227330600222,15.46392430336443,California State Waters
2078,19.076812854779867,23.430215909480335,14.050345102609157,California State Waters
2079,20.274362147152285,26.094032561677697,13.695269563778846,California State Waters
2080,19.76217234906118,24.428020977019113,14.468055877388103,California State Waters
2081,19.964091338001563,24.840399828521093,14.185822273053166,California State Waters
2082,18.680808019537828,23.69993198727945,14.068499376283102,California State Waters
2083,20.24198751614188,25.361971580369826,13.742721899430752,California State Waters
