year,mean,max,min,area
1980,14.443938173758587,17.76195930378945,10.89113359479636,California State Waters
1981,14.456342123176647,18.022226779140883,10.294890072599307,California State Waters
1982,14.190110051553093,17.086020401637402,10.896232091459963,California State Waters
1983,14.209343655824439,16.948395455819423,11.148472250665511,California State Waters
1984,15.307446095958381,18.17511250605821,11.75794733536933,California State Waters
1985,14.844754620723505,18.146950374917992,11.452841275218532,California State Waters
1986,14.730229754039755,18.12542687332797,11.570352476708466,California State Waters
1987,14.925489580320974,17.97666772574849,11.756022470585847,California State Waters
1988,14.505038847484599,17.333178379309008,11.505213755844045,California State Waters
1989,14.965652485752324,18.433157798937238,11.152647117473295,California State Waters
1990,14.172302941670727,17.65778107199102,10.462244299832314,California State Waters
1991,14.480998218547084,17.762933399543673,10.987280145864522,California State Waters
1992,13.727114430005198,16.483504184724165,11.025096593629351,California State Waters
1993,13.96357708542488,17.342308219377188,10.725530241659527,California State Waters
1994,14.72087500446497,18.554792144079027,10.696740856139158,California State Waters
1995,14.65374216595802,18.1438767012408,10.920549388469619,California State Waters
1996,14.703242369852989,17.83217072900108,11.563683610886725,California State Waters
1997,14.734121846816143,17.671522526892595,11.764272166714077,California State Waters
1998,15.26095027193601,18.650721640610588,11.65546748117855,California State Waters
1999,15.424957706149522,19.370179315981293,10.727217329928289,California State Waters
2000,14.796791372567947,18.2429678676431,11.357355600432077,California State Waters
2001,15.294003016551688,18.701370162073953,11.686762948397368,California State Waters
2002,15.076743786494687,18.0131398432593,12.061955670566093,California State Waters
2003,15.55279865150764,18.89871199591079,11.943254994024352,California State Waters
2004,13.993355047987528,17.207592484521594,10.765759821289565,California State Waters
2005,14.374772296265046,17.635488867764934,11.017556136294411,California State Waters
2006,15.071482927957362,18.495446788665756,11.516568036461576,California State Waters
2007,15.042777985268415,17.938784101501653,11.570356714878097,California State Waters
2008,14.492147929131521,17.73896502087771,10.971788263087843,California State Waters
2009,13.893140021164022,17.18698812235584,10.365223586982266,California State Waters
2010,13.982209052445166,17.119067390874143,10.46940940004684,California State Waters
2011,14.967147701131607,18.376187508832526,11.479336807299212,California State Waters
2012,14.660695464958177,18.164182481645284,10.630068868972556,California State Waters
2013,14.746069020331145,17.988153085615416,11.136953509386013,California State Waters
2014,14.233644622808525,17.43394189771766,11.099952725496225,California State Waters
2015,15.57202317041329,18.576036062151307,12.159253593756247,California State Waters
2016,14.592714904165483,17.742150985189685,11.230230555578189,California State Waters
2017,14.27498446398771,17.325769845491944,10.657115247591427,California State Waters
2018,14.305422687131292,17.399622160977525,10.936245232745916,California State Waters
2019,14.426011616340348,17.810269405566643,10.763302434522812,California State Waters
2020,14.398931229695913,17.88766313009486,10.594267840406584,California State Waters
2021,15.70131176104623,18.95395496541468,12.250353142895557,California State Waters
2022,16.021314274515383,19.54219713630853,12.055238848940236,California State Waters
2023,17.06113390285989,20.616307239131825,12.800250702058177,California State Waters
2024,15.300251978016837,18.586050437458454,11.598203939235303,California State Waters
2025,15.868107841724244,18.989773218472095,12.392033042035349,California State Waters
2026,15.421197582624567,18.607967335859865,11.589304530937477,California State Waters
2027,15.17660935662158,18.88385700099868,11.432304140733647,California State Waters
2028,15.07600740364999,18.164886274914178,11.704080566981716,California State Waters
2029,15.430888106849387,18.66696377773702,12.197802071703919,California State Waters
2030,16.02448597458292,19.480028849218584,11.663275016298575,California State Waters
2031,15.25789793840497,18.83587236300632,11.163062883430703,California State Waters
2032,14.841024382424159,18.230205441585667,11.588030326433284,California State Waters
2033,14.487439204383243,18.126872289057726,10.210321463111372,California State Waters
2034,14.955321550252371,18.598260276357703,10.970418653360229,California State Waters
2035,15.992177399819063,19.560315590152616,11.981195051712016,California State Waters
2036,14.642913877871454,17.831299936191048,10.97320225424883,California State Waters
2037,15.722227471665494,19.429538447325825,11.742231692397764,California State Waters
2038,15.181180162346747,18.486467464770588,11.457811252692933,California State Waters
2039,15.136964453136056,18.186909598049684,12.091863560227507,California State Waters
2040,14.415565609610802,17.744191444363516,10.798062928837368,California State Waters
2041,14.212382146623138,17.58754386858946,10.615297403816733,California State Waters
2042,15.11632416680201,18.596739457588125,11.56336945683603,California State Waters
2043,16.063827024100366,19.21514091381955,12.218072583145192,California State Waters
2044,16.24271524781145,19.483009407150217,12.654738790830931,California State Waters
2045,16.5730279114359,19.800089344296328,12.873289978858383,California State Waters
2046,16.308149528368826,19.71344852373795,12.636234793002659,California State Waters
2047,15.557510928058779,19.3449242309747,11.35640494012067,California State Waters
2048,16.647985108001393,19.74413929855317,13.004172215250945,California State Waters
2049,16.174652151095522,19.479372525363257,12.841076570961595,California State Waters
2050,15.605886059674052,18.85588397858385,12.090034665828389,California State Waters
2051,15.872356036624259,19.156666490041985,12.330163371368329,California State Waters
2052,16.051200246670927,19.651253498047847,12.009390415735462,California State Waters
2053,14.956584414844132,18.422996160117446,11.257325508460127,California State Waters
2054,15.71203400442457,18.81384094328644,11.88592688412058,California State Waters
2055,15.754603799213005,19.584571876273085,11.10755461830196,California State Waters
2056,15.298450039375659,18.956182997315945,11.248444998333136,California State Waters
2057,16.194478432279194,19.8429071328075,12.533164543617493,California State Waters
2058,16.077482459741507,19.13197521033838,12.415829841308314,California State Waters
2059,15.915771629417833,19.39496830881649,11.835752202254833,California State Waters
2060,16.015728281449604,19.708758996079947,11.77924843670656,California State Waters
2061,15.288506708338168,18.816792419303816,11.406801384855461,California State Waters
2062,15.627024145992793,19.07011445918418,11.862056799511306,California State Waters
2063,16.049353350397126,19.416668180964674,12.28827385855787,California State Waters
2064,16.662328833194653,20.087215944567614,12.697421083777797,California State Waters
2065,15.571528593644128,19.02681801072316,11.622892056068126,California State Waters
2066,15.042252281598842,18.64652615175272,11.267956244946271,California State Waters
2067,15.984913843232851,19.270165662127866,12.428140309516033,California State Waters
2068,15.616691553825914,19.073668382260507,11.385232251261813,California State Waters
2069,16.302262221203424,19.544208952093687,12.863389316924797,California State Waters
2070,16.399457706412427,19.66755532290842,12.576115783516299,California State Waters
2071,16.64926119400305,20.575025308073517,12.125694548434808,California State Waters
2072,16.34499714459281,19.93348752028612,11.527677008520001,California State Waters
2073,15.844851296313673,19.155767164217533,12.214499247169405,California State Waters
2074,16.013703991277843,19.625292362233324,11.95551820317048,California State Waters
2075,16.168633414919814,19.462972961734668,12.215958532907294,California State Waters
2076,15.777538343825862,18.924168054041452,12.201947534748305,California State Waters
2077,16.449441268016148,19.771396550632364,13.499740453588332,California State Waters
2078,16.682753719479663,19.955949856071864,12.893161269881249,California State Waters
2079,16.622539162550932,20.42927593774515,11.830526845128375,California State Waters
2080,16.420111300720208,19.79497989999195,12.676471556564955,California State Waters
2081,17.06182710481732,20.59096209672811,13.384585489544511,California State Waters
2082,16.40298292857695,19.76446967472721,12.501246225150902,California State Waters
2083,16.828202504254513,20.53852180551255,12.148855731257049,California State Waters
2084,16.762970906979955,20.368857228145707,12.706984542216228,California State Waters
2085,16.83498164068126,20.323859556697208,12.890381733784727,California State Waters
2086,16.616951871003227,20.25682494662316,12.835298267796167,California State Waters
2087,16.043815210781784,19.21457771262041,13.114333382964539,California State Waters
2088,15.461194074312212,18.27614259918685,12.093739951236591,California State Waters
2089,16.319972409803263,19.62750295167439,11.982149588018883,California State Waters
2090,16.306762832209937,19.74717906179931,12.65601390472876,California State Waters
2091,16.306796274962526,19.689323249415676,12.593182639792728,California State Waters
2092,16.871191710940614,20.56778108901349,12.328594121152923,California State Waters
2093,17.497788153704676,21.319957755762136,13.041513502081125,California State Waters
2094,16.49502623828571,20.00109614891265,12.577512946555325,California State Waters
2095,16.641334923192474,20.36216268837225,12.80670486752819,California State Waters
2096,16.67481744263337,20.15261877481115,12.538222648269604,California State Waters
2097,18.187444375767647,21.505301161121455,14.013766563370163,California State Waters
2098,18.31120151287718,21.752315277729654,14.228838256854656,California State Waters
2099,16.743124340799515,20.48592313550323,12.7263603690757,California State Waters
2100,16.863972976078575,19.981887078515886,13.374271212229083,California State Waters
1980,16.373753755760607,17.502788269502656,14.562363263949655,Channel Islands Bioregion
1981,16.55474564755904,17.76398036073099,14.801367331924574,Channel Islands Bioregion
1982,15.838445218575462,16.84248331643221,14.497059802094045,Channel Islands Bioregion
1983,15.86795689151807,16.870851014205726,14.385295166554585,Channel Islands Bioregion
1984,16.8278936691712,17.874919961206817,15.498100957771532,Channel Islands Bioregion
1985,16.643550820266917,17.854840743303445,14.960304063320441,Channel Islands Bioregion
1986,16.413635598667074,17.675376567787875,14.793287969583071,Channel Islands Bioregion
1987,16.630658338649276,17.77636520222372,14.911850985253304,Channel Islands Bioregion
1988,16.143564513118626,17.213409676156044,14.61010647912309,Channel Islands Bioregion
1989,16.852545987825057,17.917000132234907,15.19513774667106,Channel Islands Bioregion
1990,16.196368450341513,17.599977164441594,14.318343146303098,Channel Islands Bioregion
1991,16.231929729707012,17.435667468687388,14.530320902021286,Channel Islands Bioregion
1992,15.247470115027314,16.277665946826467,13.827873900713563,Channel Islands Bioregion
1993,15.741611252139359,17.1081644895753,13.988753011168264,Channel Islands Bioregion
1994,16.746793738503154,18.032076842245715,14.90764500707584,Channel Islands Bioregion
1995,16.417508499882715,17.667945442505864,14.879794076230832,Channel Islands Bioregion
1996,16.42709799036781,17.4509192671844,14.940768694407913,Channel Islands Bioregion
1997,16.354134520875693,17.662201834677354,14.699713332858016,Channel Islands Bioregion
1998,16.8885228268862,18.047456514260695,15.406450607047445,Channel Islands Bioregion
1999,17.43022926886262,18.735187944013763,15.87165749872503,Channel Islands Bioregion
2000,16.7772822304389,18.08482007249301,14.825813552729235,Channel Islands Bioregion
2001,17.175051506924067,18.358309572747117,15.492417383148132,Channel Islands Bioregion
2002,16.78853504217426,17.841283033892573,15.179958495264765,Channel Islands Bioregion
2003,17.31422030784771,18.49964398844277,15.628993887418735,Channel Islands Bioregion
2004,15.917766800580297,17.207592484521594,14.043916547188838,Channel Islands Bioregion
2005,16.172947710930142,17.39382271660877,14.409979390412436,Channel Islands Bioregion
2006,16.76805739692234,17.924478238175016,15.142896653918925,Channel Islands Bioregion
2007,16.76997180787046,17.760820695967933,15.32988971945701,Channel Islands Bioregion
2008,16.259286457688823,17.48551956275656,14.795099490660805,Channel Islands Bioregion
2009,15.630586856845161,16.915894009602695,13.952444009918276,Channel Islands Bioregion
2010,15.639816762401207,16.710714644675523,14.2433633796865,Channel Islands Bioregion
