year,mean,max,min,area
1985,-0.11382768649428568,-0.09980857111528106,-0.1278468018732903,Ano Nuevo SMR
1990,0.32503487993985203,0.3299959747333491,0.320073785146355,Ano Nuevo SMR
1995,-0.6749382918001579,-0.6716962229516881,-0.6781803606486276,Ano Nuevo SMR
2000,1.4945294206104531,1.5283482124676278,1.4607106287532785,Ano Nuevo SMR
2005,0.2817963502910338,0.2930252673426928,0.27056743323937477,Ano Nuevo SMR
2010,-0.21710832112212922,-0.20804017787824408,-0.22617646436601435,Ano Nuevo SMR
2015,-0.5456534927302226,-0.5377474491824902,-0.5535595362779548,Ano Nuevo SMR
2020,1.684059961612535,1.8180617480017982,1.5500581752232718,Ano Nuevo SMR
2025,-0.6935360270426614,-0.6759138112717612,-0.7111582428135614,Ano Nuevo SMR
2030,1.1301641060669314,1.1682681406537452,1.0920600714801176,Ano Nuevo SMR
2035,-0.4811054512447382,-0.47376164787624986,-0.4884492546132265,Ano Nuevo SMR
2040,1.6689526441603473,1.6896669337832666,1.6482383545374282,Ano Nuevo SMR
2045,-0.6234719969234807,-0.5919981322727894,-0.6549458615741719,Ano Nuevo SMR
2050,0.6757629769773852,0.8962080307793108,0.45531792317545966,Ano Nuevo SMR
2055,0.24473043162922659,0.3144439470795306,0.17501691617892257,Ano Nuevo SMR
2060,0.19728270233738893,0.2344946948261195,0.16007070984865834,Ano Nuevo SMR
2065,-0.2701247744529742,-0.238122947057257,-0.30212660184869145,Ano Nuevo SMR
2070,0.2019456697946181,0.23780094823929812,0.16609039134993803,Ano Nuevo SMR
2075,-0.41228889891616705,-0.3373713590789674,-0.4872064387533667,Ano Nuevo SMR
2080,-0.31266262300681263,-0.24105784027362226,-0.384267405740003,Ano Nuevo SMR
2085,1.2447571075469068,1.2711317383551737,1.21838247673864,Ano Nuevo SMR
2090,0.029439817210937066,0.04321223962604318,0.015667394795830947,Ano Nuevo SMR
2095,-0.06421842163144079,-0.02889362556868319,-0.09954321769419838,Ano Nuevo SMR
2100,0.2174384617302301,0.3021043823621774,0.1327725410982828,Ano Nuevo SMR
1985,-0.18096480976467155,-0.18096480976467155,-0.18096480976467155,Natural Bridges SMR
1990,0.4564664341387791,0.4564664341387791,0.4564664341387791,Natural Bridges SMR
1995,-0.768296509271372,-0.768296509271372,-0.768296509271372,Natural Bridges SMR
2000,2.4087579907678958,2.4087579907678958,2.4087579907678958,Natural Bridges SMR
2005,0.07641719215206884,0.07641719215206884,0.07641719215206884,Natural Bridges SMR
2010,-0.19372243087635482,-0.19372243087635482,-0.19372243087635482,Natural Bridges SMR
2015,-0.5130758219845368,-0.5130758219845368,-0.5130758219845368,Natural Bridges SMR
2020,1.7167466375808476,1.7167466375808476,1.7167466375808476,Natural Bridges SMR
2025,-0.7391470583739267,-0.7391470583739267,-0.7391470583739267,Natural Bridges SMR
2030,1.4971214726029995,1.4971214726029995,1.4971214726029995,Natural Bridges SMR
2035,-0.4078521562220409,-0.4078521562220409,-0.4078521562220409,Natural Bridges SMR
2040,1.3995853743641287,1.3995853743641287,1.3995853743641287,Natural Bridges SMR
2045,-0.637401428390972,-0.637401428390972,-0.637401428390972,Natural Bridges SMR
2050,0.7191804452130864,0.7191804452130864,0.7191804452130864,Natural Bridges SMR
2055,0.30410859236075094,0.30410859236075094,0.30410859236075094,Natural Bridges SMR
2060,0.2497569765940103,0.2497569765940103,0.2497569765940103,Natural Bridges SMR
2065,-0.20002941717343212,-0.20002941717343212,-0.20002941717343212,Natural Bridges SMR
2070,-0.09305575747984336,-0.09305575747984336,-0.09305575747984336,Natural Bridges SMR
2075,-0.22038307227963497,-0.22038307227963497,-0.22038307227963497,Natural Bridges SMR
2080,-0.4508698399925667,-0.4508698399925667,-0.4508698399925667,Natural Bridges SMR
2085,1.4667150079963602,1.4667150079963602,1.4667150079963602,Natural Bridges SMR
2090,-0.09118600279076984,-0.09118600279076984,-0.09118600279076984,Natural Bridges SMR
