year,mean,max,min,area
1990,0.1742787751923813,0.19725097690613808,0.15130657347862453,Ano Nuevo SMR
1991,0.5507407904329729,0.5810997650569978,0.5203818158089479,Ano Nuevo SMR
1992,0.4649775096076314,0.47235848856755713,0.4575965306477057,Ano Nuevo SMR
1993,0.3930106529143033,0.42887354772442865,0.357147758104178,Ano Nuevo SMR
1994,0.7742902347701003,0.8321577982674196,0.7164226712727809,Ano Nuevo SMR
1995,-0.5692979827132632,-0.5666147903539898,-0.5719811750725367,Ano Nuevo SMR
1996,-0.3900263438521365,-0.3867352668417932,-0.3933174208624799,Ano Nuevo SMR
1997,0.20936355468511084,0.27639520883124397,0.1423319005389777,Ano Nuevo SMR
1998,-0.5635735505355273,-0.552610490762985,-0.5745366103080695,Ano Nuevo SMR
1999,-0.0029680886730740156,0.018364968316915677,-0.024301145663063708,Ano Nuevo SMR
2000,-0.18901436253003068,-0.16993373215353,-0.20809499290653133,Ano Nuevo SMR
2001,-0.4643604000325857,-0.46236922272859887,-0.46635157733657256,Ano Nuevo SMR
2002,0.13566178946994478,0.14811583893927469,0.12320774000061491,Ano Nuevo SMR
2003,-0.3225697108403921,-0.32059214575445116,-0.324547275926333,Ano Nuevo SMR
2004,0.07203971362187539,0.1268582269140845,0.017221200329666283,Ano Nuevo SMR
2005,2.1978584554406373,2.269218123361374,2.126498787519901,Ano Nuevo SMR
2006,-0.32330706725333924,-0.3188796508638102,-0.32773448364286834,Ano Nuevo SMR
2007,-0.5650357574684748,-0.5532292449213404,-0.5768422700156092,Ano Nuevo SMR
2008,0.3496779356745291,0.3506853806225894,0.3486704907264688,Ano Nuevo SMR
2009,0.22585816496880137,0.23461077511285788,0.21710555482474486,Ano Nuevo SMR
2010,0.00340587123057664,0.006238358421951224,0.0005733840392020551,Ano Nuevo SMR
2011,0.2955839267282813,0.3032519323511486,0.28791592110541403,Ano Nuevo SMR
2012,-0.21789344717643838,-0.19918999843265808,-0.23659689592021868,Ano Nuevo SMR
2013,0.07401726014422469,0.09873311827820135,0.04930140201024805,Ano Nuevo SMR
2014,0.1667799820900933,0.18259400289287678,0.1509659612873098,Ano Nuevo SMR
2015,-0.6442242069958839,-0.633914552079237,-0.6545338619125309,Ano Nuevo SMR
2016,0.7316876704097366,0.7668424681488328,0.6965328726706403,Ano Nuevo SMR
2017,0.8409235286084558,0.8959200637083679,0.7859269935085437,Ano Nuevo SMR
2018,-0.10200349415685023,-0.09566726091584439,-0.10833972739785606,Ano Nuevo SMR
2019,0.007794327608906807,0.012672195710281085,0.0029164595075325287,Ano Nuevo SMR
2020,0.21843384490264095,0.25809679357528015,0.17877089623000175,Ano Nuevo SMR
2021,-0.4367005110198836,-0.434849391634737,-0.43855163040503015,Ano Nuevo SMR
2022,-0.05336291509273889,-0.01610279274939587,-0.09062303743608191,Ano Nuevo SMR
2023,-0.21435765780217458,-0.20294447228242332,-0.22577084332192582,Ano Nuevo SMR
2024,-0.12045015145432789,-0.09673070897634665,-0.1441695939323091,Ano Nuevo SMR
2025,-0.17979372890193832,-0.17356136495660243,-0.1860260928472742,Ano Nuevo SMR
2026,0.27667816182564364,0.31785511548098877,0.23550120817029846,Ano Nuevo SMR
2027,0.3096680235343119,0.36122490608397406,0.25811114098464977,Ano Nuevo SMR
2028,0.048474593177754446,0.07189873400134619,0.025050452354162703,Ano Nuevo SMR
2029,-0.05521115428415302,-0.043624379530719876,-0.06679792903758616,Ano Nuevo SMR
2030,-0.3478529225228411,-0.3219922248434818,-0.37371362020220045,Ano Nuevo SMR
2031,0.8020026172691093,0.8052218381470191,0.7987833963911993,Ano Nuevo SMR
2032,0.33517456623815334,0.336329606783191,0.3340195256931156,Ano Nuevo SMR
2033,0.5196695071461631,0.5297934224979526,0.5095455917943736,Ano Nuevo SMR
2034,0.23411399430473911,0.2875733844910857,0.18065460411839251,Ano Nuevo SMR
2035,0.10505071405470442,0.10917918354981676,0.10092224455959208,Ano Nuevo SMR
2036,-0.23453702918832964,-0.20499210041833246,-0.2640819579583268,Ano Nuevo SMR
2037,-0.05971542049805064,-0.04505783877515815,-0.07437300222094313,Ano Nuevo SMR
2038,-0.22126596224643685,-0.2122809312560614,-0.23025099323681233,Ano Nuevo SMR
2039,-0.19236137168308945,-0.19192806826366968,-0.19279467510250922,Ano Nuevo SMR
2040,0.3847528562708378,0.39360458772268786,0.37590112481898763,Ano Nuevo SMR
2041,0.24759545050706655,0.28726805077987916,0.20792285023425391,Ano Nuevo SMR
2042,-0.22027783172426446,-0.2109830520336324,-0.22957261141489652,Ano Nuevo SMR
2043,-0.3037471337256798,-0.28060374041470443,-0.32689052703665517,Ano Nuevo SMR
2044,-0.8018309300242565,-0.7999294039039323,-0.8037324561445808,Ano Nuevo SMR
2045,0.005587368159418821,0.0973891325476924,-0.08621439622885475,Ano Nuevo SMR
2046,-0.23026183845259512,-0.19039501900539446,-0.2701286578997958,Ano Nuevo SMR
2047,-0.07717010325352451,-0.05461042009974109,-0.09972978640730794,Ano Nuevo SMR
2048,-0.17858875745617414,-0.16052378021172445,-0.19665373470062386,Ano Nuevo SMR
2049,-0.0008744442690772104,0.0128950009285444,-0.01464388946669882,Ano Nuevo SMR
2050,-0.375966570435418,-0.3457055716633086,-0.40622756920752734,Ano Nuevo SMR
2051,-0.4039743522657815,-0.362670405467146,-0.44527829906441696,Ano Nuevo SMR
2052,-0.20657645961329024,-0.17871937431574797,-0.2344335449108325,Ano Nuevo SMR
2053,0.37889052935947787,0.45286084007030447,0.3049202186486512,Ano Nuevo SMR
2054,1.1637748777571673,1.281963499246287,1.0455862562680476,Ano Nuevo SMR
2055,1.0705051739771747,1.228076512760013,0.9129338351943362,Ano Nuevo SMR
