year,mean,max,min,area
1980,16.360047452225295,16.383575555817277,16.336519348633317,Ano Nuevo SMR
1981,15.677471515948923,15.695479610106737,15.65946342179111,Ano Nuevo SMR
1982,15.706649756986225,15.786764662191304,15.626534851781146,Ano Nuevo SMR
1983,15.229773629553478,15.31351673959968,15.146030519507276,Ano Nuevo SMR
1984,16.729346998356363,16.850547521663195,16.608146475049534,Ano Nuevo SMR
1985,15.091963192051686,15.132702039802233,15.051224344301138,Ano Nuevo SMR
1986,15.95508204291551,16.00669805027577,15.903466035555253,Ano Nuevo SMR
1987,16.425331119379415,16.532673470185646,16.317988768573183,Ano Nuevo SMR
1988,15.452997740143996,15.46245409476032,15.443541385527672,Ano Nuevo SMR
1989,17.00497020306409,17.035981799613136,16.97395860651504,Ano Nuevo SMR
1990,14.703533692562583,14.727197172685726,14.679870212439441,Ano Nuevo SMR
1991,14.60974942446373,14.745891971459532,14.47360687746793,Ano Nuevo SMR
1992,14.349707699081161,14.492683266595815,14.206732131566508,Ano Nuevo SMR
1993,14.232840301950688,14.279450702415422,14.186229901485952,Ano Nuevo SMR
1994,15.150603085434984,15.19253295741826,15.108673213451706,Ano Nuevo SMR
1995,15.738661403865917,15.914656889036662,15.562665918695172,Ano Nuevo SMR
1996,15.284182318350183,15.378893496739082,15.189471139961283,Ano Nuevo SMR
1997,14.348816446420773,14.383509671680883,14.314123221160665,Ano Nuevo SMR
1998,18.18085589642112,18.23750146803768,18.12421032480456,Ano Nuevo SMR
1999,18.102074762228828,18.157278355320397,18.04687116913726,Ano Nuevo SMR
2000,14.726394618834771,14.754081616990801,14.698707620678741,Ano Nuevo SMR
2001,15.662692351066386,15.737937201729116,15.587447500403659,Ano Nuevo SMR
2002,15.6101220805655,15.62390745881016,15.59633670232084,Ano Nuevo SMR
2003,16.92586302388287,16.927665298438622,16.924060749327115,Ano Nuevo SMR
2004,15.54003751641395,15.610095176206139,15.469979856621762,Ano Nuevo SMR
2005,15.177225103176454,15.250092648223937,15.104357558128969,Ano Nuevo SMR
2006,15.961970548511545,16.14332720107486,15.780613895948228,Ano Nuevo SMR
2007,16.0637470806617,16.206092613947582,15.921401547375819,Ano Nuevo SMR
2008,16.114809795381834,16.159104454112875,16.070515136650794,Ano Nuevo SMR
2009,14.713081413669396,14.738330658480198,14.687832168858597,Ano Nuevo SMR
2010,15.32806885301503,15.497528180026318,15.15860952600374,Ano Nuevo SMR
2011,17.033796776687215,17.066347354110203,17.001246199264227,Ano Nuevo SMR
2012,16.26621500929795,16.329803753459167,16.202626265136733,Ano Nuevo SMR
2013,17.08225077259071,17.16189724001024,17.002604305171182,Ano Nuevo SMR
2014,14.511633059481825,14.515082272145953,14.508183846817698,Ano Nuevo SMR
2015,17.919286776490402,17.92215988808674,17.916413664894066,Ano Nuevo SMR
2016,16.2610273900547,16.36685274366853,16.155202036440865,Ano Nuevo SMR
2017,16.005698333773957,16.005915149779888,16.00548151776803,Ano Nuevo SMR
2018,15.128444994285964,15.136058394200509,15.120831594371419,Ano Nuevo SMR
2019,15.558857440953696,15.600428112740573,15.51728676916682,Ano Nuevo SMR
2020,14.810962931868623,15.03688622115938,14.585039642577868,Ano Nuevo SMR
2021,15.952358103779767,16.049574333849694,15.85514187370984,Ano Nuevo SMR
2022,17.16953711513038,17.19382092097379,17.14525330928697,Ano Nuevo SMR
2023,20.1745002626285,20.192716419974925,20.156284105282076,Ano Nuevo SMR
2024,18.2466098522751,18.39536232481396,18.097857379736237,Ano Nuevo SMR
2025,17.725051601633297,17.75486231506412,17.695240888202473,Ano Nuevo SMR
2026,17.23471501663926,17.289858278205763,17.179571755072757,Ano Nuevo SMR
2027,16.49985017031584,16.592166598274236,16.407533742357437,Ano Nuevo SMR
2028,15.31074731300395,15.471518125384712,15.149976500623188,Ano Nuevo SMR
2029,16.07939834419897,16.30394971747828,15.854846970919663,Ano Nuevo SMR
2030,18.63115699844774,18.674842062928935,18.587471933966544,Ano Nuevo SMR
2031,17.059193646841322,17.190451077387966,16.927936216294675,Ano Nuevo SMR
2032,16.32181964677033,16.521287910382885,16.12235138315777,Ano Nuevo SMR
2033,16.559699855733047,16.61393635153212,16.505463359933973,Ano Nuevo SMR
2034,16.566776465913833,16.643235608725703,16.49031732310196,Ano Nuevo SMR
2035,17.976042328085313,18.067895264440107,17.88418939173052,Ano Nuevo SMR
2036,16.348518240953403,16.524762043594666,16.17227443831214,Ano Nuevo SMR
2037,19.041799145091705,19.1064674014882,18.97713088869521,Ano Nuevo SMR
2038,18.475367302291552,18.503229424577576,18.447505180005525,Ano Nuevo SMR
