year,mean,max,min,area
1980,4.561022828891874,4.8700775827281175,4.251968075055629,Ano Nuevo SMR
1981,3.475275601558387,3.7216858073696493,3.2288653957471247,Ano Nuevo SMR
1982,2.9182213228195906,3.097044653855264,2.739397991783917,Ano Nuevo SMR
1983,3.7658173694647843,4.138197716269642,3.3934370226599273,Ano Nuevo SMR
1984,2.1386710206698627,2.43804543774575,1.839296603593975,Ano Nuevo SMR
1985,4.046184826483949,4.384002097975462,3.7083675549924364,Ano Nuevo SMR
1986,5.427839781502261,5.798915507886559,5.056764055117964,Ano Nuevo SMR
1987,3.7431559626013042,3.895914136935025,3.5903977882675835,Ano Nuevo SMR
1988,6.321102272057905,6.860543318968266,5.781661225147545,Ano Nuevo SMR
1989,3.7470180836226787,3.9624047723412503,3.531631394904107,Ano Nuevo SMR
1990,5.363011969281361,5.830705143529922,4.895318795032799,Ano Nuevo SMR
1991,5.3817708721477535,5.658383425679058,5.105158318616449,Ano Nuevo SMR
1992,4.27644849723205,4.55995998557657,3.99293700888753,Ano Nuevo SMR
1993,5.232469075387343,5.6161457532271735,4.848792397547513,Ano Nuevo SMR
1994,3.7772990392707286,4.184716462939977,3.3698816156014804,Ano Nuevo SMR
1995,1.741793538359925,1.876435426454991,1.607151650264859,Ano Nuevo SMR
1996,3.3096180377155546,3.5181010165251796,3.1011350589059297,Ano Nuevo SMR
1997,4.537076033782213,4.972726138401777,4.101425929162651,Ano Nuevo SMR
1998,2.7527822968550026,2.918910015616566,2.586654578093439,Ano Nuevo SMR
1999,3.7404914581961934,4.035174210444093,3.4458087059482936,Ano Nuevo SMR
2000,4.34040180007927,4.617364598046987,4.063439002111554,Ano Nuevo SMR
2001,2.8832403817120946,3.0421210792474453,2.7243596841767435,Ano Nuevo SMR
2002,4.860130019043572,5.235362284369766,4.4848977537173775,Ano Nuevo SMR
2003,3.5438742931559686,3.793440947812051,3.2943076384998857,Ano Nuevo SMR
2004,4.027080562869086,4.256782303471119,3.7973788222670546,Ano Nuevo SMR
2005,5.560401193853467,5.866673085670918,5.254129302036017,Ano Nuevo SMR
2006,2.2405181771703067,2.3962501926720146,2.0847861616685988,Ano Nuevo SMR
2007,1.9786093487683685,2.221668611653149,1.735550085883588,Ano Nuevo SMR
2008,3.715536892311648,3.94252908544615,3.4885446991771456,Ano Nuevo SMR
2009,4.5827327517792575,4.911232946217059,4.2542325573414566,Ano Nuevo SMR
2010,4.355969143277035,4.646169373374433,4.065768913179636,Ano Nuevo SMR
2011,3.7366981935221704,3.964650174975395,3.5087462120689454,Ano Nuevo SMR
2012,3.8081576729100197,4.192530479151755,3.4237848666682846,Ano Nuevo SMR
2013,3.8000139045994734,3.9804629049822693,3.619564904216677,Ano Nuevo SMR
2014,4.702349495124071,5.034045223705471,4.370653766542673,Ano Nuevo SMR
2015,1.9814137016795579,2.147703644372523,1.8151237589865927,Ano Nuevo SMR
2016,3.8853524302411824,4.233796604722738,3.536908255759626,Ano Nuevo SMR
2017,3.629101086789742,3.967737944182009,3.2904642293974753,Ano Nuevo SMR
2018,3.3351008711475876,3.5153965590707954,3.1548051832243797,Ano Nuevo SMR
2019,4.620054452810436,4.973469051290302,4.2666398543305695,Ano Nuevo SMR
2020,5.2959500346891595,5.476769236288966,5.115130833089352,Ano Nuevo SMR
2021,2.105302149215713,2.240624458342791,1.9699798400886357,Ano Nuevo SMR
2022,3.5906215005647395,3.8125906325876713,3.3686523685418073,Ano Nuevo SMR
2023,2.9875113223120566,3.172649961290881,2.8023726833332323,Ano Nuevo SMR
2024,4.143818423999473,4.547098460197449,3.7405383878014984,Ano Nuevo SMR
2025,1.626204323200509,1.7749452683329583,1.4774633780680595,Ano Nuevo SMR
2026,4.945996729061008,5.230860820282251,4.661132637839764,Ano Nuevo SMR
2027,4.735458586858585,4.991855312082916,4.479061861634254,Ano Nuevo SMR
2028,3.492545257499442,3.603458833079786,3.3816316819190977,Ano Nuevo SMR
2029,4.369070848962292,4.756504549812525,3.981637148112059,Ano Nuevo SMR
2030,3.458414448294789,3.7132921249419453,3.2035367716476326,Ano Nuevo SMR
2031,3.7933243506262073,4.030398073215037,3.5562506280373776,Ano Nuevo SMR
2032,4.794362887889147,5.09487774087116,4.493848034907132,Ano Nuevo SMR
2033,4.541904186680912,4.8534990426711735,4.230309330690651,Ano Nuevo SMR
2034,5.0923852021060885,5.3685527324117714,4.816217671800405,Ano Nuevo SMR
2035,1.7964241760969162,1.9540767287835479,1.6387716234102845,Ano Nuevo SMR
2036,3.794393639136105,4.158575673736631,3.430211604535579,Ano Nuevo SMR
2037,4.456436842046678,4.766933100242167,4.145940583851188,Ano Nuevo SMR
2038,2.720760432323441,2.8385132362507286,2.603007628396153,Ano Nuevo SMR
2039,3.528798263822682,3.843597819879651,3.2139987077657133,Ano Nuevo SMR
2040,4.791305394191294,5.174860940873623,4.407749847508966,Ano Nuevo SMR
2041,4.723128871107474,4.868409928176552,4.577847814038396,Ano Nuevo SMR
2042,3.735477807093412,3.9252333530597396,3.545722261127084,Ano Nuevo SMR
2043,3.1551024460140606,3.2669361826404923,3.0432687093876294,Ano Nuevo SMR
2044,1.0096783792320636,1.0740895453467962,0.9452672131173312,Ano Nuevo SMR
2045,1.7919886768423021,1.7983701702579857,1.7856071834266187,Ano Nuevo SMR
2046,2.906170804556459,3.0352252082154156,2.7771164008975027,Ano Nuevo SMR
2047,4.105528453597799,4.29152788033709,3.919529026858509,Ano Nuevo SMR
2048,2.236990409102291,2.382864361386746,2.091116456817836,Ano Nuevo SMR
2049,3.530047141639515,3.8931610173359505,3.1669332659430793,Ano Nuevo SMR
2050,3.001541511155665,3.3858826810307803,2.6172003412805496,Ano Nuevo SMR
2051,2.8211066257860513,3.102781725544483,2.5394315260276197,Ano Nuevo SMR
2052,2.9691020631697036,3.2237181041575975,2.7144860221818092,Ano Nuevo SMR
2053,4.358813258213922,4.746403646767139,3.971222869660704,Ano Nuevo SMR
2054,2.1923293785285205,2.4510331374034284,1.9336256196536121,Ano Nuevo SMR
2055,3.709316286649555,3.97846942640841,3.4401631468907,Ano Nuevo SMR
2056,4.598449763180687,4.902946089897305,4.29395343646407,Ano Nuevo SMR
2057,3.2249530760012566,3.342942701280117,3.106963450722396,Ano Nuevo SMR
2058,2.931736878361553,3.1434828172065323,2.719990939516574,Ano Nuevo SMR
2059,3.4198719249852,3.6734875725582246,3.1662562774121756,Ano Nuevo SMR
2060,4.431084502888844,4.615305851604789,4.246863154172898,Ano Nuevo SMR
2061,6.652536786021665,6.898216150943189,6.406857421100141,Ano Nuevo SMR
2062,3.5686071993829684,3.8463543058373033,3.2908600929286336,Ano Nuevo SMR
2063,3.3231102488934994,3.389453870188445,3.2567666275985534,Ano Nuevo SMR
2064,2.2217778267897668,2.403503039870411,2.040052613709122,Ano Nuevo SMR
2065,3.240034220768139,3.516295620650053,2.963772820886225,Ano Nuevo SMR
2066,3.9552099109161647,4.228183712176979,3.6822361096553506,Ano Nuevo SMR
2067,3.9280551952403036,4.202968892715871,3.6531414977647363,Ano Nuevo SMR
2068,4.73765335788019,5.140358726065607,4.334947989694774,Ano Nuevo SMR
2069,2.113333401186392,2.285697443839163,1.9409693585336207,Ano Nuevo SMR
2070,3.884439672222361,4.100318536385894,3.6685608080588286,Ano Nuevo SMR
2071,4.127936063185334,4.3107415861450145,3.945130540225655,Ano Nuevo SMR
2072,2.9311929143033923,3.086493740733714,2.775892087873071,Ano Nuevo SMR
2073,3.80433449799195,4.099157101213932,3.509511894769967,Ano Nuevo SMR
2074,4.508019040701911,4.816695542689414,4.199342538714409,Ano Nuevo SMR
2075,2.2991014302615076,2.716988499108702,1.8812143614143133,Ano Nuevo SMR
2076,2.7916046158969405,2.970396956689656,2.612812275104225,Ano Nuevo SMR
2077,2.8877977234032004,3.086421299856156,2.689174146950245,Ano Nuevo SMR
2078,3.4994636757299302,3.7589091771654783,3.2400181742943825,Ano Nuevo SMR
2079,2.4911739677842704,2.5929994038678705,2.3893485317006706,Ano Nuevo SMR
2080,1.550335633745417,1.6729383771307766,1.4277328903600575,Ano Nuevo SMR
2081,2.7034131916891786,2.8023074001632633,2.6045189832150935,Ano Nuevo SMR
2082,4.261900834906847,4.417085081674158,4.106716588139534,Ano Nuevo SMR
2083,1.8464810564555227,1.9728937640227375,1.7200683488883077,Ano Nuevo SMR
2084,2.7994276946224277,2.9445216369442644,2.6543337523005905,Ano Nuevo SMR
2085,3.4768933308403938,3.711217180490493,3.242569481190294,Ano Nuevo SMR
2086,5.2189807843882585,5.537291883602737,4.90066968517378,Ano Nuevo SMR
2087,4.769395604375751,5.10099533546716,4.43779587328434,Ano Nuevo SMR
2088,3.2572328509856012,3.696449240837246,2.8180164611339564,Ano Nuevo SMR
2089,4.040399211114273,4.216042718831449,3.8647557033970954,Ano Nuevo SMR
