year,mean,max,min,area
1980,12.970294056993364,13.043196425062952,12.897391688923776,Ano Nuevo SMR
1981,13.063413388246115,13.06684429704807,13.059982479444159,Ano Nuevo SMR
1982,13.174176426397384,13.218746996863091,13.129605855931677,Ano Nuevo SMR
1983,13.016247839593856,13.046966059667339,12.98552961952037,Ano Nuevo SMR
1984,14.426818259060932,14.454657541955795,14.398978976166068,Ano Nuevo SMR
1985,13.4924620464849,13.535213748745356,13.449710344224442,Ano Nuevo SMR
1986,13.34308457342732,13.376495932163921,13.309673214690719,Ano Nuevo SMR
1987,13.781219615328249,13.852764191489799,13.709675039166699,Ano Nuevo SMR
1988,13.27880324173529,13.345351889032537,13.212254594438042,Ano Nuevo SMR
1989,13.569085825635032,13.590965484758923,13.54720616651114,Ano Nuevo SMR
1990,12.554476767384049,12.577453722331505,12.531499812436593,Ano Nuevo SMR
1991,13.157249554972246,13.183241175008872,13.13125793493562,Ano Nuevo SMR
1992,12.565093409519974,12.615862505444516,12.514324313595433,Ano Nuevo SMR
1993,12.550308153639588,12.601370715618451,12.499245591660722,Ano Nuevo SMR
1994,13.211061750298612,13.235561909894118,13.186561590703105,Ano Nuevo SMR
1995,13.475051068057116,13.53160311523556,13.41849902087867,Ano Nuevo SMR
1996,13.372910449258415,13.405445734206166,13.340375164310663,Ano Nuevo SMR
1997,13.479839564983585,13.538469990040019,13.42120913992715,Ano Nuevo SMR
1998,14.120698834404966,14.164302505257382,14.07709516355255,Ano Nuevo SMR
1999,13.972906014300692,13.98435975733972,13.961452271261665,Ano Nuevo SMR
2000,13.189429367969659,13.218800785993892,13.160057949945426,Ano Nuevo SMR
2001,13.874828101143443,13.910347155252476,13.839309047034412,Ano Nuevo SMR
2002,13.804875844859843,13.844213564541354,13.765538125178333,Ano Nuevo SMR
2003,14.318573046313976,14.325132577134491,14.312013515493462,Ano Nuevo SMR
2004,12.403560761697483,12.422736892027965,12.384384631367,Ano Nuevo SMR
2005,13.042704974849887,13.082253092666141,13.003156857033632,Ano Nuevo SMR
2006,13.792747759091544,13.834284603145397,13.75121091503769,Ano Nuevo SMR
2007,13.871215028860465,13.924976034306349,13.817454023414582,Ano Nuevo SMR
2008,13.25293106776989,13.29370179538177,13.212160340158007,Ano Nuevo SMR
2009,12.64623063014077,12.660772225512849,12.63168903476869,Ano Nuevo SMR
