year,mean,max,min,area
1985,0.3230960710431776,0.3538947172373472,0.3015025995816565,Richardson Rock SMR
1990,-0.6408401825223846,-0.6284576416506233,-0.6538269178473968,Richardson Rock SMR
1995,0.5429978131599178,0.5589550226322189,0.5159620759007968,Richardson Rock SMR
2000,0.1313572371617191,0.1849871463515136,0.10135293531108402,Richardson Rock SMR
2005,-0.45613588312268716,-0.41430805075497545,-0.49930576872258925,Richardson Rock SMR
2010,-0.20222782405469575,-0.1803331230241092,-0.23191292452884582,Richardson Rock SMR
2015,1.3958744570094774,1.4207871490060366,1.3848298318647831,Richardson Rock SMR
2020,-1.0803225836646217,-1.0513336820160575,-1.109597235763479,Richardson Rock SMR
2025,1.624142201676504,1.6906557267573294,1.5272038247667528,Richardson Rock SMR
2030,0.2413496124538259,0.3557251362042031,0.17191463802949158,Richardson Rock SMR
2035,-0.24378795732252723,-0.16072668210443908,-0.3197947922126936,Richardson Rock SMR
2040,-1.5560370197337448,-1.4220758800311746,-1.7017567801675622,Richardson Rock SMR
2045,2.21881474621723,2.3300995693593993,2.1202843094922112,Richardson Rock SMR
2050,-1.239945526496801,-1.125646026779302,-1.375640196727721,Richardson Rock SMR
2055,0.5047060745923537,0.5801991269381457,0.4570765895229716,Richardson Rock SMR
2060,0.10548967280361232,0.13755595127454256,0.06478304791126988,Richardson Rock SMR
2065,-0.44650886146822444,-0.41767401505493673,-0.47117934315041055,Richardson Rock SMR
2070,0.5067729999558814,0.5453875110125956,0.4913522389955336,Richardson Rock SMR
2075,0.2869996684365921,0.32026369119617115,0.2698733810259277,Richardson Rock SMR
2080,0.019438892093099014,0.13482126014625706,-0.11960164485538627,Richardson Rock SMR
2085,0.22732857234815285,0.40884151261332846,0.08741196140372054,Richardson Rock SMR
2090,-0.15127023061099099,-0.10653601038994154,-0.23976486340162495,Richardson Rock SMR
2095,0.29239348556994305,0.32088903192638085,0.25636736037029806,Richardson Rock SMR
2100,0.03025885447503196,0.1008369613689375,-0.02218938366860357,Richardson Rock SMR
1985,0.32936327371673224,0.39794079937078664,0.2825419463074663,Harris Point SMR
1990,-0.6276091284439467,-0.6191662319044369,-0.641960917017343,Harris Point SMR
1995,0.5507291963715399,0.5614509299277337,0.5372560306773568,Harris Point SMR
2000,0.05094232427199019,0.08920340616778155,-0.05398052350159688,Harris Point SMR
2005,-0.48908929215701624,-0.4158341623167985,-0.5274013627321441,Harris Point SMR
2010,-0.2104816203591211,-0.1666160107259369,-0.24250301125064766,Harris Point SMR
2015,1.4569810636642826,1.4909648063774767,1.436350909796376,Harris Point SMR
2020,-1.1060141862506696,-1.0578560488308053,-1.1490900749966695,Harris Point SMR
2025,1.5085015723286137,1.645706264435944,1.4215133192122984,Harris Point SMR
