year,mean,max,min,area
1990,-1.317253645524139,-1.1997791473935635,-1.3927949237749004,Richardson Rock SMR
1991,-1.3204497197086802,-1.1346023302576995,-1.4359196207892388,Richardson Rock SMR
1992,-1.7975217947860624,-1.710057754790233,-1.8755422819890626,Richardson Rock SMR
1993,0.30698299227715964,0.4254239772506274,0.1345350940277683,Richardson Rock SMR
1994,0.9958442564298364,1.0057269629243848,0.9792821058857939,Richardson Rock SMR
1995,-0.038377861981336636,0.16730497935336075,-0.13463177262843118,Richardson Rock SMR
1996,-0.4483822662539527,-0.10269221873890189,-0.8094600107061147,Richardson Rock SMR
1997,-1.247090833420645,-1.0205048884396923,-1.3952374822931617,Richardson Rock SMR
1998,1.0843799333897435,1.3861771670194187,0.8318921697944255,Richardson Rock SMR
1999,1.475309134855709,1.5779322694168414,1.3819100108047984,Richardson Rock SMR
2000,0.2926436786577984,0.39853728024970536,0.20285002855448653,Richardson Rock SMR
2001,1.2666120833619265,1.4720977839326679,1.0037731352538586,Richardson Rock SMR
2002,1.6343366899266734,1.7411079294272138,1.516569723296298,Richardson Rock SMR
2003,2.0768271311702566,2.3208968786672983,1.8531626952545324,Richardson Rock SMR
2004,-0.5579842902892489,-0.40824450782474386,-0.7060545895826742,Richardson Rock SMR
2005,0.45989747622257937,0.730182879715084,0.1418020723854987,Richardson Rock SMR
2006,0.0779119499174552,0.36555112251627975,-0.30496366499419736,Richardson Rock SMR
2007,1.6169076265047146,1.7556356971863387,1.435572857814531,Richardson Rock SMR
2008,-1.5531739705522716,-1.3499575540340487,-1.7278095064991952,Richardson Rock SMR
2009,-3.954413576356961,-3.860284741276285,-4.051946333916359,Richardson Rock SMR
2010,-0.02369222187405029,0.05277363189402706,-0.13821767442224342,Richardson Rock SMR
2011,1.5663880798781102,1.6376030373601864,1.499001762686607,Richardson Rock SMR
2012,1.1981523233710556,1.4718934830522379,1.018177381487689,Richardson Rock SMR
2013,0.34360662241349793,0.5858651631408627,-0.012617595552072203,Richardson Rock SMR
2014,-0.2601689621643679,-0.14916224687378943,-0.3930129443709518,Richardson Rock SMR
2015,1.4596438364518267,1.5362255683217114,1.3452784553378727,Richardson Rock SMR
2016,0.745191629868927,0.800745985062413,0.6883030122127174,Richardson Rock SMR
2017,0.43787133152704083,0.5461392348891678,0.3930191818524591,Richardson Rock SMR
2018,0.055779725001355196,0.10407629694631382,-0.01289140398493771,Richardson Rock SMR
2019,1.8772776999416472,2.0842025260525716,1.7281480338583854,Richardson Rock SMR
2020,0.7094618152469128,0.8297886579515712,0.5973117593809398,Richardson Rock SMR
2021,-1.1293397721923695,-0.974780458122197,-1.2776174957706594,Richardson Rock SMR
2022,1.041036109332965,1.17483828930013,0.8577359191596337,Richardson Rock SMR
2023,2.4668364237452174,2.7299147884629598,2.285043452947253,Richardson Rock SMR
2024,0.45929183584340283,0.5787785818175593,0.38209071394930305,Richardson Rock SMR
2025,0.40948933617933214,0.5011271529565562,0.26208246119373513,Richardson Rock SMR
2026,1.08701486649551,1.2154893247835972,0.9461912109644857,Richardson Rock SMR
2027,0.5651644301763019,0.8443241242045083,0.2625022003673898,Richardson Rock SMR
2028,-0.3418236159569723,-0.21108245941642423,-0.5064547688883039,Richardson Rock SMR
2029,-0.4345336828753199,-0.3471109541718427,-0.5709423217467595,Richardson Rock SMR
2030,2.6846434529944245,2.7353152079987453,2.5490307357028996,Richardson Rock SMR
2031,0.8374662416758163,1.0022443843685735,0.721120601115306,Richardson Rock SMR
2032,-2.3607380405282257,-2.08058918733375,-2.5032037354832646,Richardson Rock SMR
2033,-3.200625880828407,-3.121084510024936,-3.2930166911480434,Richardson Rock SMR
2034,0.8733970183801567,0.9167513499079938,0.7847875034217751,Richardson Rock SMR
2035,0.07020900743516556,0.19917775423202855,-0.051658022476171794,Richardson Rock SMR
2036,-1.6555450231645201,-1.4882328382414336,-1.8134117335411517,Richardson Rock SMR
2037,1.8252992707387383,2.073619826265997,1.5542256523342601,Richardson Rock SMR
2038,1.745131608965294,1.832563902538947,1.7110005714867924,Richardson Rock SMR
2039,0.9363583963544864,1.1062861744531283,0.7798317710748819,Richardson Rock SMR
2040,-2.423347969121931,-2.381779931644047,-2.4868250583182814,Richardson Rock SMR
2041,-2.3598381159464576,-2.277134461938118,-2.442937116469448,Richardson Rock SMR
2042,1.1790197082082798,1.5230457458808395,0.9567052502755402,Richardson Rock SMR
2043,1.808547123385405,1.8648074575662363,1.7663147030106963,Richardson Rock SMR
2044,0.2197355540316268,0.6438991237595886,-0.07707082712803626,Richardson Rock SMR
2045,-0.11772123376008814,-0.04817579572178943,-0.16193043018170883,Richardson Rock SMR
2046,1.6735192348294783,1.7783291082541979,1.5603051082680253,Richardson Rock SMR
2047,-0.19905410153022363,-0.004586397961396926,-0.32023536468645375,Richardson Rock SMR
