year,mean,max,min,area
1990,-0.317744111479207,-0.2745629244132761,-0.33891544133127915,Richardson Rock SMR
1991,-0.4122472809018336,-0.35946739832908214,-0.45142100710632604,Richardson Rock SMR
1992,-0.8559300532415643,-0.7598927942797662,-0.9228069729858372,Richardson Rock SMR
1993,-0.3976466249467139,-0.36938926457573906,-0.41351560768612394,Richardson Rock SMR
1994,-0.525968165500859,-0.5071149176937624,-0.5424191502636226,Richardson Rock SMR
1995,-0.09784236936246682,-0.06950261901840449,-0.13786484194659998,Richardson Rock SMR
1996,0.19267885241954907,0.2147133536736181,0.16464913912702883,Richardson Rock SMR
1997,-0.2481949209661778,-0.19614649036774345,-0.2950089095417283,Richardson Rock SMR
1998,0.7645530665047846,0.7996872553066652,0.7102637203158171,Richardson Rock SMR
1999,0.6496743072413151,0.7611967055381577,0.5595836354387203,Richardson Rock SMR
2000,0.6743550503216369,0.7009492222523104,0.6546110843276622,Richardson Rock SMR
2001,0.9558713514396224,1.035427590450615,0.8985222273625215,Richardson Rock SMR
2002,1.4223738062704228,1.4636529712526105,1.3802002886023406,Richardson Rock SMR
2003,1.6479293935868582,1.6718880978406645,1.5933310248573918,Richardson Rock SMR
2004,-0.8809792578645328,-0.8309254762154321,-0.9470694928889323,Richardson Rock SMR
2005,-0.32477864596096806,-0.25193211159513496,-0.3979528334115052,Richardson Rock SMR
2006,0.08630829761631631,0.22034935823857893,-0.004981673350183513,Richardson Rock SMR
2007,0.6154813450538472,0.6481385198809395,0.5769968071402936,Richardson Rock SMR
2008,-0.5178753803369269,-0.4831276521663401,-0.5910904567702104,Richardson Rock SMR
2009,-1.9027496820198704,-1.831406066557534,-2.017131296504237,Richardson Rock SMR
2010,-0.6583637071773829,-0.5946411737790847,-0.7151258896255399,Richardson Rock SMR
2011,-0.28959396105734925,-0.2588116956120654,-0.31751988928133557,Richardson Rock SMR
2012,-0.2372925824384975,-0.20460099520680153,-0.2717811613812806,Richardson Rock SMR
2013,-0.6009172227719946,-0.5794930999936962,-0.6340977740654239,Richardson Rock SMR
2014,0.2698310414478118,0.2929428833201708,0.24336833833486615,Richardson Rock SMR
2015,1.1936466329547817,1.2092917749129732,1.1724358283270568,Richardson Rock SMR
2016,-0.28849237252009896,-0.20084350141970297,-0.43536658945510887,Richardson Rock SMR
2017,-0.9474386266119703,-0.9326493456397813,-0.9652471761465904,Richardson Rock SMR
2018,-0.5402588363764242,-0.4675371671505104,-0.5817199221357878,Richardson Rock SMR
2019,0.5186497222932953,0.6229693516850716,0.46014595348810694,Richardson Rock SMR
2020,0.3155518733448557,0.33692226721395,0.2960810695493965,Richardson Rock SMR
2021,0.7302513085541298,0.7414400389424554,0.7104783215278907,Richardson Rock SMR
2022,1.3837189848854594,1.4274725167934417,1.3504253390212995,Richardson Rock SMR
2023,2.251360517410716,2.3497021233162467,2.187016640370855,Richardson Rock SMR
2024,1.05884589497271,1.0998944858668835,1.0107887256063606,Richardson Rock SMR
2025,0.5438196180118822,0.5853873461121122,0.4758701427506953,Richardson Rock SMR
2026,0.8642377321860697,0.9007202160551735,0.8425243673331213,Richardson Rock SMR
2027,1.027288752909575,1.0487585983427845,1.0130356779496683,Richardson Rock SMR
2028,0.8473076892626583,0.9180033192591193,0.8042239792551271,Richardson Rock SMR
2029,1.0251189003808605,1.0683218561322665,0.9586003367720703,Richardson Rock SMR
2030,1.8654918141303298,1.8829289609709559,1.8289126387051677,Richardson Rock SMR
2031,-0.3295950619688637,-0.3096982909567618,-0.34935269143065817,Richardson Rock SMR
2032,-1.629961567517626,-1.6042992891199326,-1.6580122397724288,Richardson Rock SMR
2033,-2.528072714624737,-2.4604324349230815,-2.648735791553797,Richardson Rock SMR
2034,-0.10482419685224142,-0.09634804751823367,-0.12491457114962756,Richardson Rock SMR
2035,-0.0024383448687013143,0.19499845409976402,-0.147880154183202,Richardson Rock SMR
2036,-0.706855312876737,-0.6803748548987034,-0.7313362344183254,Richardson Rock SMR
2037,0.4635234054938926,0.49969878232680287,0.444971652660902,Richardson Rock SMR
2038,0.055655523432817766,0.1146901087738268,-0.024205873691446556,Richardson Rock SMR
2039,-0.47502595151124805,-0.376500201835281,-0.5271223865537795,Richardson Rock SMR
2040,-1.799824977056272,-1.7418706722438682,-1.8624834622720012,Richardson Rock SMR
2041,-1.2393199893548026,-1.2095921894925148,-1.2847772921746863,Richardson Rock SMR
2042,0.5860571404323163,0.637879039261362,0.541411516924498,Richardson Rock SMR
2043,1.428514711853282,1.4745080005271127,1.396010820882001,Richardson Rock SMR
2044,1.4783707910250268,1.500190733872012,1.4376334901820993,Richardson Rock SMR
2045,0.6627777264834851,0.6982084294610367,0.6283427891918372,Richardson Rock SMR
2046,1.7390652216354825,1.8783337986191544,1.636797030533108,Richardson Rock SMR
2047,-0.0352435140492422,-0.0024679119975274943,-0.07040631249437013,Richardson Rock SMR
2048,1.5328205690763355,1.5966552305940258,1.4833164739381761,Richardson Rock SMR
2049,1.2876585359754475,1.3131508162885321,1.2564027626836367,Richardson Rock SMR
2050,0.978869219720429,0.9946382827129092,0.9544593726316783,Richardson Rock SMR
2051,1.705058416983837,1.7252564965128947,1.6811745867811059,Richardson Rock SMR
2052,1.046926947781766,1.059360339095738,1.0315866397647664,Richardson Rock SMR
2053,-0.9875820247917817,-0.9404380782163244,-1.0299580848140817,Richardson Rock SMR
2054,-0.7444868161909102,-0.6533730981383847,-0.8489064055284903,Richardson Rock SMR
2055,-0.7352394519044472,-0.6685694372563304,-0.7954410697895753,Richardson Rock SMR
2056,-1.3494467916509443,-1.295862134674591,-1.4240439565836525,Richardson Rock SMR
2057,0.5215013628723555,0.5517494577031741,0.4701587907765834,Richardson Rock SMR
2058,-0.4903677941905116,-0.37293299345133946,-0.6393518082982936,Richardson Rock SMR
2059,-0.36413250668066244,-0.2902061925521089,-0.3962126029938666,Richardson Rock SMR
2060,0.610195747395966,0.6449821748494156,0.5934225257618273,Richardson Rock SMR
2061,-0.28760619630320505,-0.2562987625130546,-0.31334648763702155,Richardson Rock SMR
2062,-0.6285554984443023,-0.579005160684563,-0.657542536710908,Richardson Rock SMR
2063,1.1411277176650998,1.1669057683365995,1.1224188253497314,Richardson Rock SMR
2064,1.1967431441123826,1.240793194294051,1.1386662707958912,Richardson Rock SMR
2065,-0.3410191886646121,-0.311690337159213,-0.3614830208166815,Richardson Rock SMR
2066,-0.3289503596994736,-0.30464196131526755,-0.3804613940340289,Richardson Rock SMR
2067,-0.14092760015458516,-0.05800108915193647,-0.2239518547656445,Richardson Rock SMR
2068,-0.4412934652057974,-0.3695595611118563,-0.5015991751733537,Richardson Rock SMR
2069,0.28406273943326354,0.3658446690815502,0.182813514539113,Richardson Rock SMR
2070,0.06026413848765699,0.0793197638538885,0.0434164397617387,Richardson Rock SMR
2071,1.3798890279606422,1.4839835054415662,1.3003047597474335,Richardson Rock SMR
2072,1.212876468676522,1.272356490858206,1.1217447440297796,Richardson Rock SMR
2073,-0.07077832808018414,0.0083576390092297,-0.17022853015357597,Richardson Rock SMR
2074,-0.9154753241700728,-0.8857394204503812,-0.9428747480625042,Richardson Rock SMR
2075,0.7937726683924735,0.8235049612373082,0.763231851932499,Richardson Rock SMR
2076,0.8236810397670911,0.9064939639186562,0.7039160275502052,Richardson Rock SMR
2077,0.14646916040982827,0.21285711403158558,0.06092392421398429,Richardson Rock SMR
2078,1.2671686875607326,1.3241572600181293,1.1617995441093267,Richardson Rock SMR
2079,0.828666093273883,0.9099741463905211,0.7884160566596456,Richardson Rock SMR
2080,0.3064385605296911,0.41293871037096963,0.1601425064441706,Richardson Rock SMR
2081,0.23126197346417854,0.29363539093678526,0.13650155266741848,Richardson Rock SMR
2082,-0.38197204654554895,-0.3524755717095651,-0.4333785407616233,Richardson Rock SMR
2083,1.0299924817747446,1.1727942880797926,0.94191478024878,Richardson Rock SMR
2084,0.8900881462155823,0.9206521914140673,0.8572046233257709,Richardson Rock SMR
2085,0.24676746444125186,0.2892398677579422,0.2184095270452282,Richardson Rock SMR
2086,0.9578713843922118,1.0856687395707176,0.8549552294784277,Richardson Rock SMR
2087,-0.41002197987755196,-0.30983174930284463,-0.49338311385915645,Richardson Rock SMR
2088,-1.7377093025572856,-1.6676395731970217,-1.785548297161915,Richardson Rock SMR
2089,-0.4485863684724647,-0.3489950532377861,-0.5413047677970262,Richardson Rock SMR
2090,0.07605834173716186,0.1690766492117035,-0.019124048986221,Richardson Rock SMR
2091,-0.7290210400090071,-0.6975202310609561,-0.7768986018109345,Richardson Rock SMR
2092,0.6773040822857226,0.733404475917478,0.5946976585625876,Richardson Rock SMR
2093,0.5593765220917,0.5889570254005925,0.52717398867199,Richardson Rock SMR
2094,-0.46099692832639594,-0.44972172617375605,-0.4913243695780274,Richardson Rock SMR
2095,0.14112325495895206,0.21435302153643931,0.05690870041226148,Richardson Rock SMR
2096,0.2584865723478176,0.3184697882792378,0.19632211899143215,Richardson Rock SMR
2097,2.6127629620174515,2.7473189476117383,2.5142620556240587,Richardson Rock SMR
2098,3.133165796630519,3.232992595051691,3.0792032631880097,Richardson Rock SMR
2099,0.23089283285564388,0.3509923095746821,0.14435391961768573,Richardson Rock SMR
2100,0.322652340044975,0.35720432173923555,0.29487015448105325,Richardson Rock SMR
1990,-0.29824585472721443,-0.2440201176465564,-0.33662428559697055,Harris Point SMR
1991,-0.2796713759441931,-0.24369375076251742,-0.31628384490621997,Harris Point SMR
1992,-0.6706143030652405,-0.6374596792400027,-0.7095740791051952,Harris Point SMR
1993,-0.41133205744100954,-0.39654215538632087,-0.41905695571022505,Harris Point SMR
1994,-0.5545841325735035,-0.4834361458207965,-0.6368698455239272,Harris Point SMR
1995,-0.07687993207240673,-0.0708477678558026,-0.08191020122708004,Harris Point SMR
1996,0.1473166231705889,0.16588691244479747,0.1369757644613543,Harris Point SMR
1997,-0.22556452277612493,-0.20797832791591198,-0.25090839458612635,Harris Point SMR
1998,0.7642129724947853,0.796344127924355,0.7139756278888534,Harris Point SMR
1999,0.6631057470235873,0.7588128384286925,0.6179718811938901,Harris Point SMR
2000,0.6016715206435301,0.6400749611910186,0.5074704064261368,Harris Point SMR
2001,0.9046759266837991,0.9686960594003597,0.8772382880335456,Harris Point SMR
2002,1.3583784071081437,1.370376252111372,1.3456074562563067,Harris Point SMR
2003,1.6544494766230797,1.6857817029876951,1.6329514222629182,Harris Point SMR
