year,mean,max,min,area
1980,18.1513534002896,18.29251104040126,17.92882603777138,Richardson Rock SMR
1981,17.98875405964205,18.05499642561158,17.922711665624423,Richardson Rock SMR
1982,17.541074384636204,17.71353913899818,17.30819772930293,Richardson Rock SMR
1983,16.197998377101765,16.250428051447365,16.14691355219059,Richardson Rock SMR
1984,17.057453893281036,17.119186311123507,17.018412207786618,Richardson Rock SMR
1985,17.3066283254052,17.431485962869733,17.155637818921605,Richardson Rock SMR
1986,18.165287432436514,18.526561269499936,17.85296009479394,Richardson Rock SMR
1987,17.226009217311304,17.467192366755864,16.903481395318988,Richardson Rock SMR
1988,18.210832533109702,18.554840771704132,17.84944424408812,Richardson Rock SMR
1989,18.8575573542687,18.95855338508507,18.756252739048822,Richardson Rock SMR
1990,16.83409975476546,16.899716116626358,16.729046890377816,Richardson Rock SMR
1991,16.668304339933375,16.788109335366723,16.611592800070323,Richardson Rock SMR
1992,15.743552589850141,15.901752782687995,15.515623575205327,Richardson Rock SMR
1993,16.504981369378925,16.675852028697992,16.309707139003557,Richardson Rock SMR
1994,18.05329814971087,18.0984684170093,18.021102807900185,Richardson Rock SMR
1995,17.268250463423865,17.322942798274966,17.196860099252827,Richardson Rock SMR
1996,17.716905166182563,17.750267876055037,17.68107736776772,Richardson Rock SMR
1997,15.978918383890658,16.08473386879092,15.87600827542972,Richardson Rock SMR
1998,19.295212466499443,19.386732941498558,19.235621411107537,Richardson Rock SMR
1999,20.332866489124413,20.441527300239258,20.236331008619878,Richardson Rock SMR
2000,17.126743433423258,17.298253396876063,16.931896918932303,Richardson Rock SMR
2001,17.9349164232953,18.08369058400299,17.791882470620582,Richardson Rock SMR
2002,17.377889279776817,17.64286071211521,17.032193298501625,Richardson Rock SMR
2003,18.58180850054918,18.630604017670855,18.529014723952525,Richardson Rock SMR
2004,17.49531385942162,17.61285830007544,17.392413827426626,Richardson Rock SMR
2005,17.728147939646448,17.986527645641452,17.464744870660464,Richardson Rock SMR
2006,17.794817116100017,18.0826523813101,17.44530421106084,Richardson Rock SMR
