year,mean,max,min,area
1980,14.747619078649603,14.832132740965662,14.627442487593846,Richardson Rock SMR
1981,15.052987375301676,15.123438188828835,14.953362554114692,Richardson Rock SMR
1982,14.796973628776408,14.91596229830307,14.587766694993329,Richardson Rock SMR
1983,14.501885452052548,14.587581848119882,14.400901947499086,Richardson Rock SMR
1984,15.586759027321504,15.6603019548725,15.498100957771532,Richardson Rock SMR
1985,15.07071514969278,15.136089694875826,14.981337204831194,Richardson Rock SMR
1986,14.980594509007263,15.09643069235662,14.82287966823474,Richardson Rock SMR
1987,15.138675038009472,15.301828237048701,14.915485322874295,Richardson Rock SMR
1988,14.78915091009398,14.90196487862896,14.628113166958428,Richardson Rock SMR
1989,15.439764304769414,15.601781763535016,15.212801685660837,Richardson Rock SMR
1990,14.429874967170397,14.493217299634383,14.35287956318057,Richardson Rock SMR
1991,14.640740094399844,14.682292209414825,14.59389515578561,Richardson Rock SMR
1992,13.941043575534843,14.024025426237733,13.827873900713563,Richardson Rock SMR
1993,14.104238827105835,14.175944709471585,14.004857458622391,Richardson Rock SMR
1994,15.060790861820644,15.1372774975695,14.99098604007777,Richardson Rock SMR
1995,14.972872780330315,15.045693796915856,14.91183458581279,Richardson Rock SMR
1996,15.173273361426812,15.311144046030238,14.98752880736177,Richardson Rock SMR
1997,14.890480117043294,15.006819327506973,14.719338832506551,Richardson Rock SMR
1998,15.553703976598765,15.66711786186766,15.427800422265094,Richardson Rock SMR
1999,16.08943861201073,16.17152085513599,15.973998391198995,Richardson Rock SMR
2000,15.104230017492034,15.172897110388027,15.013187521123873,Richardson Rock SMR
2001,15.596611445839466,15.71771979986544,15.492417383148132,Richardson Rock SMR
2002,15.363417381805265,15.487678397490344,15.208074189315903,Richardson Rock SMR
2003,15.752168220692692,15.843761501971096,15.676745556463056,Richardson Rock SMR
2004,14.17981160395611,14.306352021354067,14.043916547188838,Richardson Rock SMR
2005,14.648094134369346,14.735977852441378,14.513881752401284,Richardson Rock SMR
2006,15.25958165904313,15.306162372680054,15.207878165600349,Richardson Rock SMR
2007,15.50596146209714,15.654957847387912,15.335157484873923,Richardson Rock SMR
2008,15.035828596261839,15.183990209701319,14.836709965494883,Richardson Rock SMR
2009,14.18668892999086,14.329959332416202,13.956867094694758,Richardson Rock SMR
2010,14.445866310314651,14.55318721018296,14.298061631498333,Richardson Rock SMR
2011,15.307017484782117,15.400199910584105,15.189351386107484,Richardson Rock SMR
2012,15.12612479936677,15.265327162328255,14.936293027934623,Richardson Rock SMR
2013,15.151250997920698,15.256117389959526,15.042647782397632,Richardson Rock SMR
2014,14.449642645403923,14.564195020513358,14.329086492165757,Richardson Rock SMR
2015,15.84174076732413,15.942812108120043,15.68631758072834,Richardson Rock SMR
2016,14.97108928652303,15.105318871260351,14.77251157614524,Richardson Rock SMR
2017,14.55852283548517,14.696879530101214,14.402508139234142,Richardson Rock SMR
2018,14.495569759885413,14.602270287565531,14.369172798344373,Richardson Rock SMR
2019,14.705338652284155,14.790522436806844,14.57983644637983,Richardson Rock SMR
2020,14.761418183659506,14.871201453556479,14.634983898712283,Richardson Rock SMR
2021,16.037268793336246,16.138159331502138,15.920478838935624,Richardson Rock SMR
2022,16.509843784252226,16.615752501349554,16.363765544728064,Richardson Rock SMR
2023,17.402611515331415,17.44313403033038,17.381258764235074,Richardson Rock SMR
2024,15.508488540376634,15.574983746119718,15.42898097803264,Richardson Rock SMR
2025,16.38556038533601,16.528199454232155,16.162187723479036,Richardson Rock SMR
2026,15.835327018709101,16.006039087315525,15.615035943478361,Richardson Rock SMR
