year,mean,max,min,area
1990,-0.8446849215044505,-0.8446849215044505,-0.8446849215044505,Reading Rock SMR
1991,-0.10042482006919151,-0.10042482006919151,-0.10042482006919151,Reading Rock SMR
1992,0.3869703350684244,0.3869703350684244,0.3869703350684244,Reading Rock SMR
1993,-0.15051903212271078,-0.15051903212271078,-0.15051903212271078,Reading Rock SMR
1994,0.6653895700160959,0.6653895700160959,0.6653895700160959,Reading Rock SMR
1995,0.5603738446003348,0.5603738446003348,0.5603738446003348,Reading Rock SMR
1996,-0.3514953341583613,-0.3514953341583613,-0.3514953341583613,Reading Rock SMR
1997,-0.5863657048693742,-0.5863657048693742,-0.5863657048693742,Reading Rock SMR
1998,-0.04398078923207471,-0.04398078923207471,-0.04398078923207471,Reading Rock SMR
1999,-0.9302048562629768,-0.9302048562629768,-0.9302048562629768,Reading Rock SMR
2000,0.847138668749718,0.847138668749718,0.847138668749718,Reading Rock SMR
2001,1.2022707420887304,1.2022707420887304,1.2022707420887304,Reading Rock SMR
2002,0.44349685503870795,0.44349685503870795,0.44349685503870795,Reading Rock SMR
2003,0.9428328335112841,0.9428328335112841,0.9428328335112841,Reading Rock SMR
2004,-0.7973324455349644,-0.7973324455349644,-0.7973324455349644,Reading Rock SMR
2005,-0.5009003020972358,-0.5009003020972358,-0.5009003020972358,Reading Rock SMR
2006,-0.49563116189035306,-0.49563116189035306,-0.49563116189035306,Reading Rock SMR
2007,-1.0367854680028366,-1.0367854680028366,-1.0367854680028366,Reading Rock SMR
2008,-0.8206878715009083,-0.8206878715009083,-0.8206878715009083,Reading Rock SMR
2009,0.9189213220572832,0.9189213220572832,0.9189213220572832,Reading Rock SMR
2010,0.17115790162488587,0.17115790162488587,0.17115790162488587,Reading Rock SMR
2011,0.013814049931124117,0.013814049931124117,0.013814049931124117,Reading Rock SMR
2012,-1.5331277678834514,-1.5331277678834514,-1.5331277678834514,Reading Rock SMR
2013,0.012095688946848426,0.012095688946848426,0.012095688946848426,Reading Rock SMR
2014,2.9499034710127585,2.9499034710127585,2.9499034710127585,Reading Rock SMR
2015,2.2509125025297294,2.2509125025297294,2.2509125025297294,Reading Rock SMR
2016,1.331964227545468,1.331964227545468,1.331964227545468,Reading Rock SMR
2017,-0.27636332560645194,-0.27636332560645194,-0.27636332560645194,Reading Rock SMR
2018,1.8494857967815648,1.8494857967815648,1.8494857967815648,Reading Rock SMR
2019,-0.8813108480227143,-0.8813108480227143,-0.8813108480227143,Reading Rock SMR
2020,-0.09738988839896834,-0.09738988839896834,-0.09738988839896834,Reading Rock SMR
2021,0.8996324921842671,0.8996324921842671,0.8996324921842671,Reading Rock SMR
2022,2.3128105309489317,2.3128105309489317,2.3128105309489317,Reading Rock SMR
2023,2.7223556128220565,2.7223556128220565,2.7223556128220565,Reading Rock SMR
2024,-1.6746633077629944,-1.6746633077629944,-1.6746633077629944,Reading Rock SMR
2025,0.01561253067955981,0.01561253067955981,0.01561253067955981,Reading Rock SMR
2026,-0.43107778934705543,-0.43107778934705543,-0.43107778934705543,Reading Rock SMR
2027,1.2837482606180277,1.2837482606180277,1.2837482606180277,Reading Rock SMR
2028,-0.8943721723816207,-0.8943721723816207,-0.8943721723816207,Reading Rock SMR
2029,4.22654967815531,4.22654967815531,4.22654967815531,Reading Rock SMR
2030,0.400310692953429,0.400310692953429,0.400310692953429,Reading Rock SMR
2031,-0.6711659992447832,-0.6711659992447832,-0.6711659992447832,Reading Rock SMR
2032,-0.40546043460911285,-0.40546043460911285,-0.40546043460911285,Reading Rock SMR
2033,-4.211898970625409,-4.211898970625409,-4.211898970625409,Reading Rock SMR
2034,-1.541395889151163,-1.541395889151163,-1.541395889151163,Reading Rock SMR
2035,-0.5100346107663043,-0.5100346107663043,-0.5100346107663043,Reading Rock SMR
2036,0.15758971274568623,0.15758971274568623,0.15758971274568623,Reading Rock SMR
2037,0.08662057799380207,0.08662057799380207,0.08662057799380207,Reading Rock SMR
2038,-0.8094652587284816,-0.8094652587284816,-0.8094652587284816,Reading Rock SMR
2039,-3.040191215266267,-3.040191215266267,-3.040191215266267,Reading Rock SMR
2040,-0.7654203669687298,-0.7654203669687298,-0.7654203669687298,Reading Rock SMR
