year,mean,max,min,area
1990,-0.5783705722387715,-0.5783705722387715,-0.5783705722387715,Reading Rock SMR
1991,0.565859977836638,0.565859977836638,0.565859977836638,Reading Rock SMR
1992,0.07789281954013738,0.07789281954013738,0.07789281954013738,Reading Rock SMR
1993,-0.8305495091112931,-0.8305495091112931,-0.8305495091112931,Reading Rock SMR
1994,-1.1516549688315045,-1.1516549688315045,-1.1516549688315045,Reading Rock SMR
1995,-0.5704983789847784,-0.5704983789847784,-0.5704983789847784,Reading Rock SMR
1996,-0.06958039434596053,-0.06958039434596053,-0.06958039434596053,Reading Rock SMR
1997,0.06807508040017396,0.06807508040017396,0.06807508040017396,Reading Rock SMR
1998,-0.017950349839853885,-0.017950349839853885,-0.017950349839853885,Reading Rock SMR
1999,-0.28440363315941397,-0.28440363315941397,-0.28440363315941397,Reading Rock SMR
2000,1.0836758744298134,1.0836758744298134,1.0836758744298134,Reading Rock SMR
2001,0.8500136004504988,0.8500136004504988,0.8500136004504988,Reading Rock SMR
2002,1.0507214908839497,1.0507214908839497,1.0507214908839497,Reading Rock SMR
2003,1.2909256447342905,1.2909256447342905,1.2909256447342905,Reading Rock SMR
2004,0.21729024264061714,0.21729024264061714,0.21729024264061714,Reading Rock SMR
2005,0.15161776537350669,0.15161776537350669,0.15161776537350669,Reading Rock SMR
2006,-0.138774884708889,-0.138774884708889,-0.138774884708889,Reading Rock SMR
2007,-0.41452749541158695,-0.41452749541158695,-0.41452749541158695,Reading Rock SMR
2008,-0.7617426986397398,-0.7617426986397398,-0.7617426986397398,Reading Rock SMR
2009,-0.4865588270533152,-0.4865588270533152,-0.4865588270533152,Reading Rock SMR
2010,-1.0887790346681214,-1.0887790346681214,-1.0887790346681214,Reading Rock SMR
2011,-0.16453912870202814,-0.16453912870202814,-0.16453912870202814,Reading Rock SMR
2012,-1.4780532114291187,-1.4780532114291187,-1.4780532114291187,Reading Rock SMR
2013,-0.9163446758857852,-0.9163446758857852,-0.9163446758857852,Reading Rock SMR
2014,0.2916938768762467,0.2916938768762467,0.2916938768762467,Reading Rock SMR
2015,1.1713558407675535,1.1713558407675535,1.1713558407675535,Reading Rock SMR
2016,-0.27965399297576,-0.27965399297576,-0.27965399297576,Reading Rock SMR
2017,-0.7947573279777913,-0.7947573279777913,-0.7947573279777913,Reading Rock SMR
2018,0.05238628594223904,0.05238628594223904,0.05238628594223904,Reading Rock SMR
2019,0.3269699887839508,0.3269699887839508,0.3269699887839508,Reading Rock SMR
2020,0.17497524471733783,0.17497524471733783,0.17497524471733783,Reading Rock SMR
2021,0.7140787069120069,0.7140787069120069,0.7140787069120069,Reading Rock SMR
2022,1.5850242636644154,1.5850242636644154,1.5850242636644154,Reading Rock SMR
2023,1.8428646496254597,1.8428646496254597,1.8428646496254597,Reading Rock SMR
2024,0.5178272363728222,0.5178272363728222,0.5178272363728222,Reading Rock SMR
2025,0.3163564683577764,0.3163564683577764,0.3163564683577764,Reading Rock SMR
2026,0.49564403943513113,0.49564403943513113,0.49564403943513113,Reading Rock SMR
2027,0.7985882191948761,0.7985882191948761,0.7985882191948761,Reading Rock SMR
2028,0.7236692476483864,0.7236692476483864,0.7236692476483864,Reading Rock SMR
2029,1.9468569817703099,1.9468569817703099,1.9468569817703099,Reading Rock SMR
2030,1.0997784437346478,1.0997784437346478,1.0997784437346478,Reading Rock SMR
2031,-1.0642398465440568,-1.0642398465440568,-1.0642398465440568,Reading Rock SMR
2032,-0.519536342758876,-0.519536342758876,-0.519536342758876,Reading Rock SMR
2033,-2.666905010056336,-2.666905010056336,-2.666905010056336,Reading Rock SMR
2034,-0.7099678848973401,-0.7099678848973401,-0.7099678848973401,Reading Rock SMR
2035,-0.5522125381524887,-0.5522125381524887,-0.5522125381524887,Reading Rock SMR
2036,-0.6379022447969191,-0.6379022447969191,-0.6379022447969191,Reading Rock SMR
2037,0.2589903908523503,0.2589903908523503,0.2589903908523503,Reading Rock SMR
2038,-0.2299461404032126,-0.2299461404032126,-0.2299461404032126,Reading Rock SMR
2039,-0.48708979117945006,-0.48708979117945006,-0.48708979117945006,Reading Rock SMR
2040,-1.0113844365169822,-1.0113844365169822,-1.0113844365169822,Reading Rock SMR
2041,-0.7042341053857779,-0.7042341053857779,-0.7042341053857779,Reading Rock SMR
2042,-0.09394941545393465,-0.09394941545393465,-0.09394941545393465,Reading Rock SMR
2043,2.0765141524168182,2.0765141524168182,2.0765141524168182,Reading Rock SMR
2044,1.7481475064389063,1.7481475064389063,1.7481475064389063,Reading Rock SMR
2045,0.9313313681230913,0.9313313681230913,0.9313313681230913,Reading Rock SMR
2046,1.662317165092153,1.662317165092153,1.662317165092153,Reading Rock SMR
2047,-0.39514353288938864,-0.39514353288938864,-0.39514353288938864,Reading Rock SMR
2048,1.5685171918277252,1.5685171918277252,1.5685171918277252,Reading Rock SMR
2049,0.7853755326282137,0.7853755326282137,0.7853755326282137,Reading Rock SMR
2050,1.2842295655384106,1.2842295655384106,1.2842295655384106,Reading Rock SMR
2051,1.8112238234495077,1.8112238234495077,1.8112238234495077,Reading Rock SMR
2052,0.49249692592158745,0.49249692592158745,0.49249692592158745,Reading Rock SMR
2053,-0.9606579231314925,-0.9606579231314925,-0.9606579231314925,Reading Rock SMR
2054,-0.6823325952841284,-0.6823325952841284,-0.6823325952841284,Reading Rock SMR
2055,-1.7643018787578768,-1.7643018787578768,-1.7643018787578768,Reading Rock SMR
2056,-1.2650139639728355,-1.2650139639728355,-1.2650139639728355,Reading Rock SMR
2057,1.5509894373190924,1.5509894373190924,1.5509894373190924,Reading Rock SMR
2058,-0.4239660426843219,-0.4239660426843219,-0.4239660426843219,Reading Rock SMR
2059,-1.0767768911435063,-1.0767768911435063,-1.0767768911435063,Reading Rock SMR
2060,0.04811546501720976,0.04811546501720976,0.04811546501720976,Reading Rock SMR
2061,-0.9312145225364965,-0.9312145225364965,-0.9312145225364965,Reading Rock SMR
2062,-0.17831932006613016,-0.17831932006613016,-0.17831932006613016,Reading Rock SMR
2063,1.0248613991805922,1.0248613991805922,1.0248613991805922,Reading Rock SMR
2064,0.6362352711571244,0.6362352711571244,0.6362352711571244,Reading Rock SMR
2065,0.5124403720439545,0.5124403720439545,0.5124403720439545,Reading Rock SMR
2066,-0.03443415354863433,-0.03443415354863433,-0.03443415354863433,Reading Rock SMR
2067,-0.4510084915648598,-0.4510084915648598,-0.4510084915648598,Reading Rock SMR
2068,-1.0977808480907907,-1.0977808480907907,-1.0977808480907907,Reading Rock SMR
2069,0.9982936660905963,0.9982936660905963,0.9982936660905963,Reading Rock SMR
2070,0.6167871495808441,0.6167871495808441,0.6167871495808441,Reading Rock SMR
2071,0.8568779558087609,0.8568779558087609,0.8568779558087609,Reading Rock SMR
