year,mean,max,min,area
1980,13.224275177665834,13.224275177665834,13.224275177665834,Reading Rock SMR
1981,12.314894365409472,12.314894365409472,12.314894365409472,Reading Rock SMR
1982,13.144155469779305,13.144155469779305,13.144155469779305,Reading Rock SMR
1983,12.804901072750438,12.804901072750438,12.804901072750438,Reading Rock SMR
1984,12.967880466109412,12.967880466109412,12.967880466109412,Reading Rock SMR
1985,13.136781860737036,13.136781860737036,13.136781860737036,Reading Rock SMR
1986,13.811050736338434,13.811050736338434,13.811050736338434,Reading Rock SMR
1987,14.684366309328656,14.684366309328656,14.684366309328656,Reading Rock SMR
1988,13.73850465747117,13.73850465747117,13.73850465747117,Reading Rock SMR
1989,13.491644788840862,13.491644788840862,13.491644788840862,Reading Rock SMR
1990,12.379590256161384,12.379590256161384,12.379590256161384,Reading Rock SMR
1991,12.21446954534028,12.21446954534028,12.21446954534028,Reading Rock SMR
1992,13.53112580484773,13.53112580484773,13.53112580484773,Reading Rock SMR
1993,12.654382040627727,12.654382040627727,12.654382040627727,Reading Rock SMR
1994,13.633270036125507,13.633270036125507,13.633270036125507,Reading Rock SMR
1995,13.697155705337371,13.697155705337371,13.697155705337371,Reading Rock SMR
1996,13.459555402180072,13.459555402180072,13.459555402180072,Reading Rock SMR
1997,14.098000604459282,14.098000604459282,14.098000604459282,Reading Rock SMR
1998,13.694523868239095,13.694523868239095,13.694523868239095,Reading Rock SMR
1999,12.561439932577885,12.561439932577885,12.561439932577885,Reading Rock SMR
2000,13.226728924911102,13.226728924911102,13.226728924911102,Reading Rock SMR
2001,13.416740287429011,13.416740287429011,13.416740287429011,Reading Rock SMR
2002,13.974622659886437,13.974622659886437,13.974622659886437,Reading Rock SMR
2003,13.597214874139011,13.597214874139011,13.597214874139011,Reading Rock SMR
2004,12.835937590590543,12.835937590590543,12.835937590590543,Reading Rock SMR
2005,13.196255403240135,13.196255403240135,13.196255403240135,Reading Rock SMR
2006,12.96392424028972,12.96392424028972,12.96392424028972,Reading Rock SMR
2007,13.061215136456445,13.061215136456445,13.061215136456445,Reading Rock SMR
2008,12.873835996738187,12.873835996738187,12.873835996738187,Reading Rock SMR
2009,13.480361254635168,13.480361254635168,13.480361254635168,Reading Rock SMR
2010,13.397886826535988,13.397886826535988,13.397886826535988,Reading Rock SMR
2011,13.430554337360135,13.430554337360135,13.430554337360135,Reading Rock SMR
2012,12.441494892002986,12.441494892002986,12.441494892002986,Reading Rock SMR
2013,13.60931056308586,13.60931056308586,13.60931056308586,Reading Rock SMR
2014,15.785841061603302,15.785841061603302,15.785841061603302,Reading Rock SMR
2015,15.447167905769865,15.447167905769865,15.447167905769865,Reading Rock SMR
2016,14.295888467835187,14.295888467835187,14.295888467835187,Reading Rock SMR
2017,12.784851810849993,12.784851810849993,12.784851810849993,Reading Rock SMR
2018,14.723321793519752,14.723321793519752,14.723321793519752,Reading Rock SMR
2019,12.599050406612454,12.599050406612454,12.599050406612454,Reading Rock SMR
