year,mean,max,min,area
1980,6.266108563663437,6.266108563663437,6.266108563663437,Reading Rock SMR
1981,6.665113590024412,6.665113590024412,6.665113590024412,Reading Rock SMR
1982,6.111120623480528,6.111120623480528,6.111120623480528,Reading Rock SMR
1983,6.307870509428905,6.307870509428905,6.307870509428905,Reading Rock SMR
1984,6.065380608346313,6.065380608346313,6.065380608346313,Reading Rock SMR
1985,4.788945527467877,4.788945527467877,4.788945527467877,Reading Rock SMR
1986,6.085309222098441,6.085309222098441,6.085309222098441,Reading Rock SMR
1987,6.0512403533980255,6.0512403533980255,6.0512403533980255,Reading Rock SMR
1988,6.493497135154904,6.493497135154904,6.493497135154904,Reading Rock SMR
1989,6.246314722225072,6.246314722225072,6.246314722225072,Reading Rock SMR
1990,6.832236607745288,6.832236607745288,6.832236607745288,Reading Rock SMR
1991,5.894062760341913,5.894062760341913,5.894062760341913,Reading Rock SMR
1992,4.920590901821852,4.920590901821852,4.920590901821852,Reading Rock SMR
1993,6.915257103787734,6.915257103787734,6.915257103787734,Reading Rock SMR
1994,6.0470879086293285,6.0470879086293285,6.0470879086293285,Reading Rock SMR
1995,6.253341625062748,6.253341625062748,6.253341625062748,Reading Rock SMR
1996,6.077221734169871,6.077221734169871,6.077221734169871,Reading Rock SMR
1997,4.713066590856761,4.713066590856761,4.713066590856761,Reading Rock SMR
1998,6.31473508566618,6.31473508566618,6.31473508566618,Reading Rock SMR
1999,6.872789067272097,6.872789067272097,6.872789067272097,Reading Rock SMR
2000,6.301619092701003,6.301619092701003,6.301619092701003,Reading Rock SMR
2001,6.773982777521014,6.773982777521014,6.773982777521014,Reading Rock SMR
2002,6.29826965328306,6.29826965328306,6.29826965328306,Reading Rock SMR
2003,5.536784311262891,5.536784311262891,5.536784311262891,Reading Rock SMR
2004,4.9802293217461555,4.9802293217461555,4.9802293217461555,Reading Rock SMR
2005,6.5956320388056335,6.5956320388056335,6.5956320388056335,Reading Rock SMR
2006,6.943521284870804,6.943521284870804,6.943521284870804,Reading Rock SMR
2007,4.790606897491962,4.790606897491962,4.790606897491962,Reading Rock SMR
2008,6.439695786032825,6.439695786032825,6.439695786032825,Reading Rock SMR
2009,5.948650637920946,5.948650637920946,5.948650637920946,Reading Rock SMR
2010,7.19759317423217,7.19759317423217,7.19759317423217,Reading Rock SMR
2011,5.793998187948019,5.793998187948019,5.793998187948019,Reading Rock SMR
2012,5.31607353394851,5.31607353394851,5.31607353394851,Reading Rock SMR
2013,5.439744815323501,5.439744815323501,5.439744815323501,Reading Rock SMR
2014,5.793024573866279,5.793024573866279,5.793024573866279,Reading Rock SMR
2015,5.5782828226871795,5.5782828226871795,5.5782828226871795,Reading Rock SMR
2016,5.742406051130967,5.742406051130967,5.742406051130967,Reading Rock SMR
2017,7.013136270251127,7.013136270251127,7.013136270251127,Reading Rock SMR
2018,6.8634525151923285,6.8634525151923285,6.8634525151923285,Reading Rock SMR
2019,4.984327333681285,4.984327333681285,4.984327333681285,Reading Rock SMR
2020,8.053040048368274,8.053040048368274,8.053040048368274,Reading Rock SMR
2021,5.407991781178861,5.407991781178861,5.407991781178861,Reading Rock SMR
2022,6.233915291260928,6.233915291260928,6.233915291260928,Reading Rock SMR
2023,5.823390092737973,5.823390092737973,5.823390092737973,Reading Rock SMR
2024,7.061171390675008,7.061171390675008,7.061171390675008,Reading Rock SMR
2025,5.1019738105312,5.1019738105312,5.1019738105312,Reading Rock SMR
2026,6.225185278020798,6.225185278020798,6.225185278020798,Reading Rock SMR
2027,7.574371205028147,7.574371205028147,7.574371205028147,Reading Rock SMR
2028,6.624665544871241,6.624665544871241,6.624665544871241,Reading Rock SMR
