year,mean,max,min,area
1980,11.53081872763971,11.53081872763971,11.53081872763971,Reading Rock SMR
1981,10.756011362757269,10.756011362757269,10.756011362757269,Reading Rock SMR
1982,11.415819464991431,11.415819464991431,11.415819464991431,Reading Rock SMR
1983,11.929083755293954,11.929083755293954,11.929083755293954,Reading Rock SMR
1984,12.211150625559272,12.211150625559272,12.211150625559272,Reading Rock SMR
1985,11.87613572617193,11.87613572617193,11.87613572617193,Reading Rock SMR
1986,12.089849055088932,12.089849055088932,12.089849055088932,Reading Rock SMR
1987,12.304755981268523,12.304755981268523,12.304755981268523,Reading Rock SMR
1988,12.133414495476375,12.133414495476375,12.133414495476375,Reading Rock SMR
1989,11.559933392906842,11.559933392906842,11.559933392906842,Reading Rock SMR
1990,10.952448155400939,10.952448155400939,10.952448155400939,Reading Rock SMR
1991,11.321871340593907,11.321871340593907,11.321871340593907,Reading Rock SMR
1992,11.493712284531568,11.493712284531568,11.493712284531568,Reading Rock SMR
1993,11.09853424618266,11.09853424618266,11.09853424618266,Reading Rock SMR
1994,11.059495656727767,11.059495656727767,11.059495656727767,Reading Rock SMR
1995,11.305637347187151,11.305637347187151,11.305637347187151,Reading Rock SMR
1996,12.020268660742971,12.020268660742971,12.020268660742971,Reading Rock SMR
1997,12.372831061668697,12.372831061668697,12.372831061668697,Reading Rock SMR
1998,12.11546414563652,12.11546414563652,12.11546414563652,Reading Rock SMR
1999,11.275529759747428,11.275529759747428,11.275529759747428,Reading Rock SMR
2000,12.036124029830752,12.036124029830752,12.036124029830752,Reading Rock SMR
2001,12.171884941044405,12.171884941044405,12.171884941044405,Reading Rock SMR
2002,12.544433775415518,12.544433775415518,12.544433775415518,Reading Rock SMR
2003,12.389459890916951,12.389459890916951,12.389459890916951,Reading Rock SMR
2004,11.276785899368384,11.276785899368384,11.276785899368384,Reading Rock SMR
2005,11.457255112560658,11.457255112560658,11.457255112560658,Reading Rock SMR
2006,11.881493776034082,11.881493776034082,11.881493776034082,Reading Rock SMR
2007,11.95830356625711,11.95830356625711,11.95830356625711,Reading Rock SMR
2008,11.353721446996781,11.353721446996781,11.353721446996781,Reading Rock SMR
2009,10.788970932694113,10.788970932694113,10.788970932694113,Reading Rock SMR
2010,10.94734499516263,10.94734499516263,10.94734499516263,Reading Rock SMR
2011,12.007345812342377,12.007345812342377,12.007345812342377,Reading Rock SMR
2012,11.0663805639864,11.0663805639864,11.0663805639864,Reading Rock SMR
2013,11.473115215031166,11.473115215031166,11.473115215031166,Reading Rock SMR
2014,11.568479776244631,11.568479776244631,11.568479776244631,Reading Rock SMR
2015,12.628610953328211,12.628610953328211,12.628610953328211,Reading Rock SMR
2016,11.601839783058322,11.601839783058322,11.601839783058322,Reading Rock SMR
2017,11.163546238279318,11.163546238279318,11.163546238279318,Reading Rock SMR
2018,11.40610773293902,11.40610773293902,11.40610773293902,Reading Rock SMR
2019,11.115940921478064,11.115940921478064,11.115940921478064,Reading Rock SMR
2020,11.122320239879969,11.122320239879969,11.122320239879969,Reading Rock SMR
2021,12.721424519254384,12.721424519254384,12.721424519254384,Reading Rock SMR
2022,12.651404827650815,12.651404827650815,12.651404827650815,Reading Rock SMR
2023,13.315979864656626,13.315979864656626,13.315979864656626,Reading Rock SMR
2024,12.086307012617453,12.086307012617453,12.086307012617453,Reading Rock SMR
2025,12.944967421685988,12.944967421685988,12.944967421685988,Reading Rock SMR
2026,12.097483822493453,12.097483822493453,12.097483822493453,Reading Rock SMR
2027,11.962134457474194,11.962134457474194,11.962134457474194,Reading Rock SMR
2028,12.129776980587406,12.129776980587406,12.129776980587406,Reading Rock SMR
2029,13.062797903248374,13.062797903248374,13.062797903248374,Reading Rock SMR
2030,12.222098683614616,12.222098683614616,12.222098683614616,Reading Rock SMR
2031,11.657184672710327,11.657184672710327,11.657184672710327,Reading Rock SMR
2032,12.131868484891939,12.131868484891939,12.131868484891939,Reading Rock SMR
2033,10.64907485460029,10.64907485460029,10.64907485460029,Reading Rock SMR
2034,11.376339127720113,11.376339127720113,11.376339127720113,Reading Rock SMR
2035,12.392754883533499,12.392754883533499,12.392754883533499,Reading Rock SMR
2036,11.459581577696534,11.459581577696534,11.459581577696534,Reading Rock SMR
2037,12.221124848326545,12.221124848326545,12.221124848326545,Reading Rock SMR
2038,11.899830840184194,11.899830840184194,11.899830840184194,Reading Rock SMR
2039,12.575708112068924,12.575708112068924,12.575708112068924,Reading Rock SMR
2040,11.210714247097634,11.210714247097634,11.210714247097634,Reading Rock SMR
2041,10.95295056732455,10.95295056732455,10.95295056732455,Reading Rock SMR
2042,12.037919069438004,12.037919069438004,12.037919069438004,Reading Rock SMR
2043,12.725589007017108,12.725589007017108,12.725589007017108,Reading Rock SMR
2044,13.12448663415902,13.12448663415902,13.12448663415902,Reading Rock SMR
2045,13.32408625165659,13.32408625165659,13.32408625165659,Reading Rock SMR
2046,13.121898742788687,13.121898742788687,13.121898742788687,Reading Rock SMR
2047,11.825981315437156,11.825981315437156,11.825981315437156,Reading Rock SMR
2048,13.468348032011919,13.468348032011919,13.468348032011919,Reading Rock SMR
2049,13.361083644697137,13.361083644697137,13.361083644697137,Reading Rock SMR
2050,12.494943812636045,12.494943812636045,12.494943812636045,Reading Rock SMR
2051,12.764174390774057,12.764174390774057,12.764174390774057,Reading Rock SMR
2052,12.530415995359592,12.530415995359592,12.530415995359592,Reading Rock SMR
2053,11.764931083885616,11.764931083885616,11.764931083885616,Reading Rock SMR
2054,12.442154038874891,12.442154038874891,12.442154038874891,Reading Rock SMR
2055,11.559784372898713,11.559784372898713,11.559784372898713,Reading Rock SMR
2056,11.856884778815852,11.856884778815852,11.856884778815852,Reading Rock SMR
2057,13.376970752756248,13.376970752756248,13.376970752756248,Reading Rock SMR
2058,13.044381989327597,13.044381989327597,13.044381989327597,Reading Rock SMR
2059,12.284306753553631,12.284306753553631,12.284306753553631,Reading Rock SMR
2060,12.543059277653255,12.543059277653255,12.543059277653255,Reading Rock SMR
2061,11.83295986823756,11.83295986823756,11.83295986823756,Reading Rock SMR
2062,12.352096675293462,12.352096675293462,12.352096675293462,Reading Rock SMR
2063,12.789792483066208,12.789792483066208,12.789792483066208,Reading Rock SMR
2064,13.078389310032016,13.078389310032016,13.078389310032016,Reading Rock SMR
2065,12.072224744942668,12.072224744942668,12.072224744942668,Reading Rock SMR
2066,11.822450625267217,11.822450625267217,11.822450625267217,Reading Rock SMR
2067,12.925962261191389,12.925962261191389,12.925962261191389,Reading Rock SMR
2068,11.946601141236806,11.946601141236806,11.946601141236806,Reading Rock SMR
2069,13.282600419644227,13.282600419644227,13.282600419644227,Reading Rock SMR
2070,13.159846427234099,13.159846427234099,13.159846427234099,Reading Rock SMR
2071,12.689837824046322,12.689837824046322,12.689837824046322,Reading Rock SMR
2072,12.012084631235439,12.012084631235439,12.012084631235439,Reading Rock SMR
2073,12.740928230767464,12.740928230767464,12.740928230767464,Reading Rock SMR
2074,12.527651855127155,12.527651855127155,12.527651855127155,Reading Rock SMR
2075,12.725761945291685,12.725761945291685,12.725761945291685,Reading Rock SMR
2076,12.779269027219913,12.779269027219913,12.779269027219913,Reading Rock SMR
2077,13.930831159972195,13.930831159972195,13.930831159972195,Reading Rock SMR
2078,13.442057460540136,13.442057460540136,13.442057460540136,Reading Rock SMR
2079,12.275952512363636,12.275952512363636,12.275952512363636,Reading Rock SMR
2080,13.15620998294632,13.15620998294632,13.15620998294632,Reading Rock SMR
2081,13.88616939282574,13.88616939282574,13.88616939282574,Reading Rock SMR
2082,13.025610621917073,13.025610621917073,13.025610621917073,Reading Rock SMR
2083,12.69152682031117,12.69152682031117,12.69152682031117,Reading Rock SMR
2084,13.280753584007096,13.280753584007096,13.280753584007096,Reading Rock SMR
