year,mean,max,min,area
1985,-0.2534518035725324,-0.2484428141810931,-0.25846079296397173,Point Conception SMR
1990,0.884445029342468,0.907562163865055,0.8613278948198811,Point Conception SMR
1995,-0.5285516433015347,-0.5240385892514435,-0.533064697351626,Point Conception SMR
2000,0.3427618175429564,0.35743606110588755,0.32808757398002525,Point Conception SMR
2005,0.28199339038551996,0.3136685803612844,0.2503182004097555,Point Conception SMR
2010,-0.0878518152329579,-0.0829016868708621,-0.09280194359505368,Point Conception SMR
2015,-0.08244720959775342,-0.07915887807932603,-0.08573554111618083,Point Conception SMR
2020,-0.09075666284894904,-0.07546375174119739,-0.10604957395670067,Point Conception SMR
2025,-0.1404168046928417,-0.13361529041120204,-0.14721831897448137,Point Conception SMR
2030,-0.014699420061537781,0.0031520529841096738,-0.03255089310718524,Point Conception SMR
2035,-0.08057380483554585,-0.059278030037608925,-0.1018695796334828,Point Conception SMR
2040,1.5988423876575197,1.6396733770366383,1.5580113982784014,Point Conception SMR
2045,-0.6929543584170553,-0.6737666657158088,-0.7121420511183019,Point Conception SMR
2050,1.0916222531704547,1.130848091743057,1.0523964145978524,Point Conception SMR
2055,-0.21663428502737866,-0.21014734440099894,-0.2231212256537584,Point Conception SMR
2060,0.30410548944895444,0.34832785915709275,0.2598831197408162,Point Conception SMR
2065,0.05794622667978794,0.10835402689330025,0.0075384264662756335,Point Conception SMR
2070,-0.2079351457307002,-0.20237371851555302,-0.21349657294584737,Point Conception SMR
2075,-0.014829581345675809,0.001834097148329815,-0.03149325983968143,Point Conception SMR
2080,-0.1916014336114157,-0.1871746251209845,-0.1960282421018469,Point Conception SMR
2085,0.0855533028024591,0.09299795632807835,0.07810864927683984,Point Conception SMR
2090,-0.10849406582454857,-0.10653696546860542,-0.11045116618049171,Point Conception SMR
2095,-0.04800489112439697,-0.04516601574749462,-0.05084376650129933,Point Conception SMR
2100,0.41827171113130535,0.46974230011527274,0.3668011221473379,Point Conception SMR
1985,0.04252119667495967,0.04372438783110716,0.04131800551881217,Point Dume SMR
1990,0.57545195739905,0.5864376511206802,0.5644662636774198,Point Dume SMR
1995,-0.3910433762916445,-0.3843276920195774,-0.3977590605637116,Point Dume SMR
2000,0.1014691696931451,0.10702802410745053,0.09591031527883964,Point Dume SMR
2005,0.28660283181325885,0.29034665899891793,0.28285900462759983,Point Dume SMR
2010,0.002350037215709225,0.0029717005518625356,0.001728373879555914,Point Dume SMR
2015,-0.18026774453160954,-0.1780941863880346,-0.18244130267518446,Point Dume SMR
2020,0.0783061617971263,0.09412702379334437,0.06248529980090823,Point Dume SMR
2025,-0.18872553557607347,-0.1742510077739581,-0.20320006337818883,Point Dume SMR
2030,-0.018746071870335453,-0.012718882304689802,-0.0247732614359811,Point Dume SMR
2035,0.03381467068288304,0.044251445168381094,0.023377896197384986,Point Dume SMR
2040,1.557049877992426,1.8206855432429312,1.2934142127419206,Point Dume SMR
2045,-0.7368085212295756,-0.7082437982540709,-0.7653732442050802,Point Dume SMR
2050,1.0558071672069593,1.0791533916059843,1.0324609428079343,Point Dume SMR
2055,-0.1470801939608558,-0.14604595242746674,-0.14811443549424488,Point Dume SMR
2060,-0.0008235965799959239,0.005592714479547782,-0.00723990763953963,Point Dume SMR
2065,0.26689967248340796,0.2809834699243589,0.25281587504245695,Point Dume SMR
2070,-0.27812276296484606,-0.27688342877079375,-0.2793620971588984,Point Dume SMR
2075,0.1506149082561145,0.15681066369723082,0.14441915281499823,Point Dume SMR
2080,-0.1021463692635975,-0.10023329190324355,-0.10405944662395146,Point Dume SMR
2085,-0.06465414193346322,-0.06383937328338929,-0.06546891058353717,Point Dume SMR
2090,-0.05629812833362454,-0.04936108370654184,-0.06323517296070724,Point Dume SMR
2095,-0.05124578894674393,-0.04487408321385754,-0.057617494679630316,Point Dume SMR
2100,0.3311827280786412,0.3385745957798238,0.3237908603774586,Point Dume SMR
1985,-0.020215070145470214,-0.020215070145470214,-0.020215070145470214,Laguna Beach SMR
1990,0.90006728185714,0.90006728185714,0.90006728185714,Laguna Beach SMR
1995,-0.5157965305133264,-0.5157965305133264,-0.5157965305133264,Laguna Beach SMR
2000,0.17740740218206033,0.17740740218206033,0.17740740218206033,Laguna Beach SMR
2005,0.43590355798339,0.43590355798339,0.43590355798339,Laguna Beach SMR
2010,0.007967903125786564,0.007967903125786564,0.007967903125786564,Laguna Beach SMR
2015,-0.25197363634651937,-0.25197363634651937,-0.25197363634651937,Laguna Beach SMR
2020,0.04504275053498739,0.04504275053498739,0.04504275053498739,Laguna Beach SMR
2025,-0.2207035911795229,-0.2207035911795229,-0.2207035911795229,Laguna Beach SMR
2030,0.03190136899296365,0.03190136899296365,0.03190136899296365,Laguna Beach SMR
2035,0.04266882602563499,0.04266882602563499,0.04266882602563499,Laguna Beach SMR
2040,2.3541391321628047,2.3541391321628047,2.3541391321628047,Laguna Beach SMR
2045,-0.8430842516226092,-0.8430842516226092,-0.8430842516226092,Laguna Beach SMR
2050,1.6764587204880406,1.6764587204880406,1.6764587204880406,Laguna Beach SMR
2055,-0.17205379216093794,-0.17205379216093794,-0.17205379216093794,Laguna Beach SMR
2060,0.04523085499584675,0.04523085499584675,0.04523085499584675,Laguna Beach SMR
2065,0.797043113941461,0.797043113941461,0.797043113941461,Laguna Beach SMR
2070,-0.5499253868832235,-0.5499253868832235,-0.5499253868832235,Laguna Beach SMR
2075,0.26054960050924114,0.26054960050924114,0.26054960050924114,Laguna Beach SMR
2080,-0.17348851974579366,-0.17348851974579366,-0.17348851974579366,Laguna Beach SMR
2085,-0.056844982165729266,-0.056844982165729266,-0.056844982165729266,Laguna Beach SMR
2090,-0.06038565049863287,-0.06038565049863287,-0.06038565049863287,Laguna Beach SMR
2095,0.015022095472419327,0.015022095472419327,0.015022095472419327,Laguna Beach SMR
2100,0.5159769685574742,0.5159769685574742,0.5159769685574742,Laguna Beach SMR
1985,-0.06669411859467526,-0.05450427890861396,-0.07888395828073656,Matlahuayl SMR
1990,1.330327823308473,1.3772286236056666,1.2834270230112794,Matlahuayl SMR
1995,-0.6145810424050391,-0.6138517284057543,-0.6153103564043239,Matlahuayl SMR
2000,0.2121549078607982,0.23225929246767524,0.19205052325392113,Matlahuayl SMR
2005,0.4733675774799909,0.5552876482842308,0.39144750667575107,Matlahuayl SMR
2010,-0.10528394060130039,-0.06798889469953737,-0.14257898650306342,Matlahuayl SMR
2015,-0.23764020061461905,-0.23652357512015368,-0.23875682610908444,Matlahuayl SMR
2020,0.15526118646166517,0.15747471046329833,0.153047662460032,Matlahuayl SMR
2025,-0.30170927514500323,-0.29802292501153377,-0.3053956252784727,Matlahuayl SMR
2030,0.07492165561816996,0.07695403584562271,0.0728892753907172,Matlahuayl SMR
2035,0.045971231719292224,0.04778901356016144,0.044153449878423005,Matlahuayl SMR
2040,2.969552190262103,3.012610660537745,2.9264937199864614,Matlahuayl SMR
2045,-0.8586139764242697,-0.8561935193386916,-0.861034433509848,Matlahuayl SMR
2050,1.5617169862608127,1.5992103482647233,1.5242236242569023,Matlahuayl SMR
2055,-0.19515941868026992,-0.18535766962583242,-0.20496116773470746,Matlahuayl SMR
2060,0.10517121961580939,0.10824224966555143,0.10210018956606735,Matlahuayl SMR
2065,0.23684723966375426,0.23934894927611966,0.23434553005138883,Matlahuayl SMR
2070,-0.3621606197450705,-0.35875709999614575,-0.36556413949399535,Matlahuayl SMR
2075,0.29533876305906903,0.30578915953723534,0.2848883665809027,Matlahuayl SMR
2080,-0.21456674566632328,-0.21323120401785886,-0.21590228731478767,Matlahuayl SMR
2085,0.001436081438401641,0.0045738913026787415,-0.0017017284258754593,Matlahuayl SMR
2090,-0.0604955799725483,-0.05669677690174595,-0.06429438304335064,Matlahuayl SMR
2095,-0.16001372830412874,-0.15138551680624113,-0.16864193980201633,Matlahuayl SMR
2100,0.756369217882478,0.7589917570069452,0.7537466787580108,Matlahuayl SMR
1985,-0.05450427890861396,-0.05450427890861396,-0.05450427890861396,South La Jolla SMR
1990,1.2834270230112794,1.2834270230112794,1.2834270230112794,South La Jolla SMR
1995,-0.6138517284057543,-0.6138517284057543,-0.6138517284057543,South La Jolla SMR
2000,0.23225929246767524,0.23225929246767524,0.23225929246767524,South La Jolla SMR
2005,0.39144750667575107,0.39144750667575107,0.39144750667575107,South La Jolla SMR
2010,-0.06798889469953737,-0.06798889469953737,-0.06798889469953737,South La Jolla SMR
2015,-0.23652357512015368,-0.23652357512015368,-0.23652357512015368,South La Jolla SMR
2020,0.15747471046329833,0.15747471046329833,0.15747471046329833,South La Jolla SMR
2025,-0.3053956252784727,-0.3053956252784727,-0.3053956252784727,South La Jolla SMR
2030,0.0728892753907172,0.0728892753907172,0.0728892753907172,South La Jolla SMR
2035,0.04778901356016144,0.04778901356016144,0.04778901356016144,South La Jolla SMR
2040,2.9264937199864614,2.9264937199864614,2.9264937199864614,South La Jolla SMR
2045,-0.8561935193386916,-0.8561935193386916,-0.8561935193386916,South La Jolla SMR
2050,1.5242236242569023,1.5242236242569023,1.5242236242569023,South La Jolla SMR
2055,-0.18535766962583242,-0.18535766962583242,-0.18535766962583242,South La Jolla SMR
2060,0.10824224966555143,0.10824224966555143,0.10824224966555143,South La Jolla SMR
2065,0.23434553005138883,0.23434553005138883,0.23434553005138883,South La Jolla SMR
2070,-0.35875709999614575,-0.35875709999614575,-0.35875709999614575,South La Jolla SMR
2075,0.2848883665809027,0.2848883665809027,0.2848883665809027,South La Jolla SMR
2080,-0.21323120401785886,-0.21323120401785886,-0.21323120401785886,South La Jolla SMR
2085,-0.0017017284258754593,-0.0017017284258754593,-0.0017017284258754593,South La Jolla SMR
2090,-0.05669677690174595,-0.05669677690174595,-0.05669677690174595,South La Jolla SMR
2095,-0.16864193980201633,-0.16864193980201633,-0.16864193980201633,South La Jolla SMR
2100,0.7589917570069452,0.7589917570069452,0.7589917570069452,South La Jolla SMR
1985,-0.06885109256723017,-0.06885109256723017,-0.06885109256723017,Cabrillo SMR
1990,1.518002769649073,1.518002769649073,1.518002769649073,Cabrillo SMR
1995,-0.6467224363010893,-0.6467224363010893,-0.6467224363010893,Cabrillo SMR
2000,0.23263417427433822,0.23263417427433822,0.23263417427433822,Cabrillo SMR
2005,0.40381061979078375,0.40381061979078375,0.40381061979078375,Cabrillo SMR
2010,-0.07561429551934781,-0.07561429551934781,-0.07561429551934781,Cabrillo SMR
2015,-0.2378592039513771,-0.2378592039513771,-0.2378592039513771,Cabrillo SMR
