year,mean,max,min,area
1990,-1.1187582367442612,-0.9429702253496082,-1.2945462481389143,Point Conception SMR
1991,-1.6127151508344681,-1.5463417943688142,-1.679088507300122,Point Conception SMR
1992,-1.5639205868450032,-1.446916865440972,-1.6809243082490344,Point Conception SMR
1993,-0.2102874236351422,-0.1786769125165364,-0.241897934753748,Point Conception SMR
1994,1.2723568750604741,1.2859584520747909,1.2587552980461574,Point Conception SMR
1995,0.3898092719377555,0.3994561221196591,0.3801624217558519,Point Conception SMR
1996,0.3436620596889508,0.3994169141762889,0.2879072052016127,Point Conception SMR
1997,-0.6725809508458518,-0.6497300382564966,-0.695431863435207,Point Conception SMR
1998,2.1631179179930964,2.181729410026268,2.144506425959925,Point Conception SMR
1999,1.0696719329669602,1.070641286824923,1.0687025791089972,Point Conception SMR
2000,0.5250298027085094,0.5986613730169488,0.45139823240007004,Point Conception SMR
2001,1.117191089877645,1.2081506990446194,1.0262314807106705,Point Conception SMR
2002,1.8046280752061756,1.8169752451605312,1.79228090525182,Point Conception SMR
2003,2.591192739499654,2.635005195364716,2.547380283634592,Point Conception SMR
2004,-0.6548580986251711,-0.6481156883605657,-0.6616005088897765,Point Conception SMR
2005,-0.4291410201326329,-0.33328785486201795,-0.5249941854032478,Point Conception SMR
2006,0.033989443271840614,0.06072685450427784,0.007252032039403389,Point Conception SMR
2007,1.1472110333613603,1.190049220928799,1.1043728457939217,Point Conception SMR
2008,-2.0567094652055697,-1.9702807130222375,-2.143138217388902,Point Conception SMR
2009,-4.815232069506856,-4.748142892974666,-4.882321246039046,Point Conception SMR
2010,-0.2929975379807672,-0.2839415454723593,-0.30205353048917516,Point Conception SMR
2011,1.6539523930694102,1.65985813767643,1.6480466484623904,Point Conception SMR
2012,1.7711961590628356,1.8818404831198485,1.6605518350058226,Point Conception SMR
2013,-0.6126635025247378,-0.6055684103843006,-0.6197585946651749,Point Conception SMR
2014,-0.9733992483616909,-0.9358208040365419,-1.01097769268684,Point Conception SMR
2015,1.9394409606421608,2.0928038483744196,1.786078072909902,Point Conception SMR
2016,0.3404843200707859,0.3799631214040389,0.3010055187375329,Point Conception SMR
2017,0.5176881021152813,0.580281871919464,0.4550943323110985,Point Conception SMR
2018,-0.14137203389253372,-0.11555200215813954,-0.1671920656269279,Point Conception SMR
2019,2.15487175625207,2.1663274669165222,2.1434160455876174,Point Conception SMR
2020,0.8065139822146623,0.8068945805655154,0.8061333838638092,Point Conception SMR
2021,-1.2173708968256438,-1.2152855665930673,-1.2194562270582203,Point Conception SMR
2022,0.8517564201227881,0.8979993753463482,0.8055134648992279,Point Conception SMR
2023,3.4824184778394756,3.5808294927369744,3.3840074629419767,Point Conception SMR
2024,0.48787783596920953,0.5876496666204751,0.3881060053179439,Point Conception SMR
2025,-0.37217506923055765,-0.3545785579623768,-0.3897715804987385,Point Conception SMR
2026,1.3916827508243426,1.4786405866212782,1.304724915027407,Point Conception SMR
2027,0.8836814619803572,0.8974887909362153,0.8698741330244992,Point Conception SMR
2028,0.040633243364133875,0.07516409782926559,0.006102388899002165,Point Conception SMR
2029,-0.6446885589392828,-0.6036688044486809,-0.6857083134298847,Point Conception SMR
2030,2.2783971142337798,2.3084444410233296,2.24834978744423,Point Conception SMR
2031,0.026139074537208984,0.04398841148077537,0.008289737593642599,Point Conception SMR
2032,-3.113212037959782,-2.961206263728549,-3.2652178121910147,Point Conception SMR
2033,-3.6759474633582787,-3.4767388021882724,-3.875156124528285,Point Conception SMR
2034,0.7661594985787961,0.8145302752701227,0.7177887218874694,Point Conception SMR
2035,1.2430954147409317,1.2857688880485973,1.200421941433266,Point Conception SMR
2036,-1.4976348220861784,-1.4030043980445939,-1.5922652461277629,Point Conception SMR
2037,1.4032470228239866,1.5048903678475298,1.3016036778004434,Point Conception SMR
2038,1.5875817042819431,1.6072675833570216,1.5678958252068647,Point Conception SMR
2039,0.8013316156040897,0.8013797512198089,0.8012834799883706,Point Conception SMR
2040,-2.0188016654726493,-1.988307210687374,-2.0492961202579245,Point Conception SMR
2041,-1.9713736655249932,-1.9432943687256419,-1.9994529623243444,Point Conception SMR
2042,2.4235933678344246,2.4548033427242544,2.392383392944595,Point Conception SMR
2043,2.1082813188249023,2.2117200870453146,2.00484255060449,Point Conception SMR
2044,1.1581499536010913,1.1724210185778894,1.1438788886242932,Point Conception SMR
2045,-0.0822717868467926,-0.07196668088356617,-0.09257689281001902,Point Conception SMR
2046,1.509835152316466,1.5715987177734831,1.4480715868594487,Point Conception SMR
2047,0.5514456254647673,0.5682520900519243,0.5346391608776102,Point Conception SMR
2048,1.251634214010961,1.4080519798584454,1.0952164481634767,Point Conception SMR
2049,1.828289657545044,1.8441561808586435,1.8124231342314445,Point Conception SMR
2050,-0.40893762148527735,-0.2970489160465668,-0.5208263269239879,Point Conception SMR
2051,1.6997979460896975,1.8173698218399608,1.5822260703394342,Point Conception SMR
2052,1.33267710599055,1.4031501207184043,1.2622040912626957,Point Conception SMR
2053,-2.1281593463927937,-2.114860102436541,-2.141458590349046,Point Conception SMR
2054,-1.0134586037090685,-0.9992590500311138,-1.0276581573870232,Point Conception SMR
2055,-0.7621351945459711,-0.7446037977420907,-0.7796665913498515,Point Conception SMR
2056,-1.0046111565993385,-0.9836485778694524,-1.0255737353292247,Point Conception SMR
