year,mean,max,min,area
1980,17.99495813662903,18.02707746561771,17.962838807640352,Point Conception SMR
1981,18.847687515266657,19.010611456117157,18.684763574416152,Point Conception SMR
1982,16.98580814639613,17.15379676835338,16.81781952443888,Point Conception SMR
1983,16.75104904941098,16.895773109544574,16.60632498927739,Point Conception SMR
1984,17.426710462934597,17.58555823775823,17.267862688110963,Point Conception SMR
1985,17.57947895565464,17.712778931395896,17.446178979913384,Point Conception SMR
1986,17.66675839814392,17.743796108554132,17.589720687733706,Point Conception SMR
1987,17.08281629702116,17.20830217838487,16.95733041565745,Point Conception SMR
1988,17.944665777070174,18.01790366798706,17.87142788615329,Point Conception SMR
1989,19.733169197144115,19.84974224757049,19.616596146717736,Point Conception SMR
1990,16.87619989988477,17.084107240268104,16.668292559501438,Point Conception SMR
1991,17.23497236443219,17.464269661748343,17.00567506711603,Point Conception SMR
1992,15.421887559551127,15.472872460104346,15.37090265899791,Point Conception SMR
1993,16.54076162577584,16.717096197028038,16.36442705452364,Point Conception SMR
1994,18.69906733799507,18.871516689833022,18.52661798615712,Point Conception SMR
1995,17.969288227592394,18.092941353151748,17.845635102033043,Point Conception SMR
1996,18.010420457832872,18.14321302273042,17.87762789293532,Point Conception SMR
1997,16.410235346175305,16.558572140128373,16.26189855222224,Point Conception SMR
1998,20.10778369506327,20.199633078013328,20.015934312113213,Point Conception SMR
1999,20.802841130111073,20.918444826679487,20.68723743354266,Point Conception SMR
2000,17.40122970259328,17.535505472668174,17.266953932518387,Point Conception SMR
2001,18.35216345430983,18.490501142459014,18.21382576616065,Point Conception SMR
2002,17.226515634757305,17.265153365356166,17.18787790415844,Point Conception SMR
2003,19.131954365275494,19.26447648066263,18.999432249888358,Point Conception SMR
2004,18.0442092393699,18.209916180943246,17.878502297796555,Point Conception SMR
2005,17.54014720745976,17.75965349828973,17.320640916629795,Point Conception SMR
2006,18.04440990110471,18.2039398772347,17.884879924974722,Point Conception SMR
2007,17.557446379536668,17.662944985922294,17.45194777315104,Point Conception SMR
2008,18.0510742298577,18.22935236499109,17.87279609472431,Point Conception SMR
2009,15.987609060604218,16.17030193370482,15.804916187503613,Point Conception SMR
2010,17.108232164612513,17.251563927195814,16.964900402029212,Point Conception SMR
2011,20.00611584737924,20.138547790921404,19.87368390383708,Point Conception SMR
2012,18.997711793820137,19.146993848476015,18.848429739164263,Point Conception SMR
2013,18.519290862750758,18.644717885997455,18.393863839504057,Point Conception SMR
2014,17.07080999100821,17.274095376906704,16.867524605109715,Point Conception SMR
2015,19.479588168101923,19.54573157119963,19.413444765004215,Point Conception SMR
2016,18.384894221175497,18.583902998638738,18.185885443712255,Point Conception SMR
2017,18.07513448165195,18.24322685784176,17.90704210546214,Point Conception SMR
2018,17.909702195965167,18.062160299364162,17.75724409256617,Point Conception SMR
2019,18.142480816856285,18.313717979292438,17.971243654420135,Point Conception SMR
2020,17.914746146827177,18.057697311059624,17.771794982594727,Point Conception SMR
2021,18.7887449505536,18.923262224328337,18.65422767677886,Point Conception SMR
2022,19.849468213942927,19.952507313375243,19.74642911451061,Point Conception SMR
2023,22.00170934059023,22.02872534893943,21.97469333224103,Point Conception SMR
2024,17.55868782697742,17.662201382224648,17.45517427173019,Point Conception SMR
2025,19.107413098871366,19.191153013237255,19.023673184505476,Point Conception SMR
2026,19.776576971999837,19.888627913666145,19.664526030333533,Point Conception SMR
2027,18.958815943632306,19.140715648777974,18.77691623848664,Point Conception SMR
2028,17.9503354393293,18.137324397193428,17.763346481465174,Point Conception SMR
2029,17.497792257917006,17.628009665862553,17.367574849971454,Point Conception SMR
2030,20.193143261060953,20.306047098503853,20.080239423618057,Point Conception SMR
2031,18.814884025090805,18.967250635809112,18.662517414372502,Point Conception SMR
2032,16.736256175983144,16.991301049646694,16.481211302319597,Point Conception SMR
2033,18.325761877231955,18.55198654675116,18.099537207712746,Point Conception SMR
2034,18.324847325556213,18.47673165749477,18.17296299361766,Point Conception SMR
2035,20.350508513612297,20.476921901285852,20.224095125938742,Point Conception SMR
2036,18.27894214991366,18.48562351562155,18.07226078420577,Point Conception SMR
2037,20.362062966456293,20.442319326578417,20.281806606334168,Point Conception SMR
2038,19.537917143611246,19.705220222400293,19.370614064822195,Point Conception SMR
2039,18.299123873521093,18.429389417082362,18.168858329959825,Point Conception SMR
2040,18.174341595588306,18.31773988781648,18.030943303360132,Point Conception SMR
2041,16.843510359565812,17.02395626708347,16.663064452048157,Point Conception SMR
2042,19.15984954381757,19.38368444259129,18.93601464504385,Point Conception SMR
2043,20.434043196056855,20.55682909735565,20.31125729475806,Point Conception SMR
2044,19.482997279157306,19.620610546119064,19.34538401219555,Point Conception SMR
2045,20.268236726765505,20.384345008475833,20.152128445055176,Point Conception SMR
2046,19.788777302230127,19.933695102481,19.643859501979254,Point Conception SMR
2047,20.913508591921058,20.976958487456027,20.850058696386093,Point Conception SMR
2048,20.789551357622205,20.80043667056377,20.77866604468064,Point Conception SMR
2049,20.12741353106614,20.273545597941006,19.98128146419127,Point Conception SMR
2050,17.76540397410303,17.79691356089249,17.733894387313565,Point Conception SMR
2051,18.54330830565551,18.84132608892343,18.24529052238759,Point Conception SMR
2052,20.49252664980812,20.645888533853984,20.339164765762256,Point Conception SMR
2053,18.305883849664063,18.441968994919108,18.169798704409015,Point Conception SMR
