year,mean,max,min,area
1980,14.776811373453869,14.851930058881331,14.701692688026407,Point Conception SMR
1981,15.145038122585591,15.23627366523917,15.053802579932013,Point Conception SMR
1982,14.365343158470525,14.441668940615381,14.289017376325669,Point Conception SMR
1983,14.48052102825482,14.56519141704217,14.395850639467469,Point Conception SMR
1984,15.555281299010272,15.647186748614958,15.463375849405585,Point Conception SMR
1985,15.237308222987142,15.317025876798334,15.15759056917595,Point Conception SMR
1986,15.040628767598943,15.141788107437447,14.939469427760436,Point Conception SMR
1987,14.93754396835375,15.028965940465193,14.846121996242308,Point Conception SMR
1988,14.6702099086733,14.754455651599143,14.585964165747457,Point Conception SMR
1989,15.379931210194968,15.470405575304278,15.28945684508566,Point Conception SMR
1990,14.479265996314574,14.579250390958405,14.37928160167074,Point Conception SMR
1991,14.770628107785075,14.872627700277633,14.668628515292518,Point Conception SMR
1992,13.907397586538515,13.981604151536297,13.833191021540735,Point Conception SMR
1993,14.154627296170572,14.245029515806854,14.06422507653429,Point Conception SMR
1994,15.337532181550314,15.423686440423852,15.251377922676776,Point Conception SMR
1995,15.198352375700079,15.275680895771567,15.121023855628593,Point Conception SMR
1996,14.928545701369384,15.0176984637302,14.839392939008569,Point Conception SMR
1997,14.713007439747413,14.786366340252327,14.639648539242499,Point Conception SMR
1998,15.553837502588227,15.646897348457545,15.460777656718909,Point Conception SMR
1999,16.173884795125193,16.271473253543856,16.07629633670653,Point Conception SMR
2000,15.118215194232086,15.213841443923371,15.0225889445408,Point Conception SMR
2001,15.75028198482186,15.837574421877749,15.662989547765973,Point Conception SMR
2002,15.276284921778085,15.362175594791955,15.190394248764214,Point Conception SMR
2003,15.913137359975318,16.002127029781594,15.824147690169042,Point Conception SMR
2004,14.15406439989128,14.239555423889946,14.068573375892612,Point Conception SMR
2005,14.607822577938265,14.703107031882247,14.512538123994283,Point Conception SMR
2006,15.499308991405428,15.580678815978148,15.417939166832708,Point Conception SMR
2007,15.437007385241568,15.504385467734409,15.369629302748725,Point Conception SMR
2008,14.762558210923679,14.816327282836918,14.708789139010442,Point Conception SMR
2009,13.923510163953555,14.038682153533628,13.808338174373484,Point Conception SMR
2010,14.154908663452964,14.214038937343972,14.095778389561955,Point Conception SMR
2011,15.364065025561835,15.453859813070295,15.274270238053374,Point Conception SMR
2012,15.027423576486054,15.114452957015303,14.940394195956808,Point Conception SMR
2013,15.220418375173981,15.308031654610275,15.132805095737686,Point Conception SMR
2014,14.423763494069,14.511117814367076,14.336409173770923,Point Conception SMR
2015,15.7937117684034,15.870923313834817,15.716500222971982,Point Conception SMR
2016,14.82706095079526,14.93518542648201,14.718936475108514,Point Conception SMR
2017,14.343735156489696,14.428291364355895,14.2591789486235,Point Conception SMR
2018,14.49071900185614,14.588885165553956,14.392552838158325,Point Conception SMR
2019,14.753002284661164,14.840319070600586,14.665685498721743,Point Conception SMR
2020,14.869958450676897,14.962399287368896,14.7775176139849,Point Conception SMR
2021,16.10518904059976,16.18558509857945,16.02479298262007,Point Conception SMR
2022,16.448412521099435,16.528684949525765,16.368140092673105,Point Conception SMR
2023,17.696897136475567,17.792571934264995,17.60122233868614,Point Conception SMR
2024,15.562341923620647,15.662976931915331,15.46170691532596,Point Conception SMR
2025,15.909487321684272,15.947805151303788,15.871169492064757,Point Conception SMR
2026,15.719055205650527,15.808369521041518,15.629740890259535,Point Conception SMR
2027,15.530902279446867,15.632659737400855,15.429144821492878,Point Conception SMR
2028,15.38037774063464,15.471557352306009,15.289198128963271,Point Conception SMR
2029,15.546879156481411,15.646116875751778,15.447641437211045,Point Conception SMR
2030,16.669838157284545,16.7405515803968,16.599124734172285,Point Conception SMR
2031,15.85915012108045,15.94914950451149,15.76915073764941,Point Conception SMR
2032,14.80664167322071,14.91711808461087,14.696165261830552,Point Conception SMR
2033,14.864252525341247,14.997675627057573,14.73082942362492,Point Conception SMR
2034,15.475153459197216,15.569311913775438,15.380995004618994,Point Conception SMR
2035,16.6067441523736,16.693844297904,16.519644006843198,Point Conception SMR
2036,15.01460035339424,15.109281662591735,14.919919044196744,Point Conception SMR
2037,16.07473981975859,16.169037484694076,15.980442154823109,Point Conception SMR
2038,15.391364590662223,15.474002736726638,15.308726444597808,Point Conception SMR
2039,15.23816160623688,15.323414498572674,15.152908713901084,Point Conception SMR
2040,14.63525182445754,14.71691124994218,14.553592398972903,Point Conception SMR
2041,14.395973574608654,14.482028605549672,14.309918543667635,Point Conception SMR
2042,15.422486464027063,15.52264571080245,15.322327217251678,Point Conception SMR
2043,16.32711506099139,16.404336020465127,16.24989410151765,Point Conception SMR
2044,16.866343169501377,16.939454219274083,16.793232119728675,Point Conception SMR
2045,17.195627745670393,17.274001905996077,17.117253585344713,Point Conception SMR
2046,16.966102779148443,17.06285558940677,16.869349968890116,Point Conception SMR
2047,16.22572779058709,16.316817874671937,16.134637706502243,Point Conception SMR
2048,17.035737240915424,17.113044449794362,16.958430032036485,Point Conception SMR
2049,16.45730497792755,16.544483150707443,16.37012680514766,Point Conception SMR
2050,15.44076632503278,15.517422863078544,15.364109786987017,Point Conception SMR
2051,16.137330941644265,16.25061640273739,16.024045480551145,Point Conception SMR
2052,16.567663839490713,16.658112047302318,16.477215631679112,Point Conception SMR
2053,15.19549639182112,15.274074709513402,15.116918074128838,Point Conception SMR
2054,15.930024332404955,16.016241912778426,15.843806752031481,Point Conception SMR
2055,16.35483982852156,16.445208746971463,16.264470910071655,Point Conception SMR
2056,15.58667169070949,15.680458911342825,15.492884470076154,Point Conception SMR
2057,16.49262970050636,16.598772604039993,16.386486796972726,Point Conception SMR
2058,16.142948887699706,16.251476206477246,16.034421568922166,Point Conception SMR
2059,16.40518163262208,16.51164708361243,16.29871618163173,Point Conception SMR
2060,16.3685941582685,16.47395111684703,16.26323719968997,Point Conception SMR
2061,15.829252018762018,15.934756936031198,15.723747101492838,Point Conception SMR
2062,15.8920556871021,15.99230865858928,15.791802715614923,Point Conception SMR
2063,16.499886099928794,16.578592825883124,16.42117937397446,Point Conception SMR
2064,17.29464084816994,17.386109863746977,17.2031718325929,Point Conception SMR
2065,15.951920858993203,16.049549128024363,15.854292589962043,Point Conception SMR
2066,15.263220539734718,15.367030254950613,15.15941082451882,Point Conception SMR
2067,16.254838760777062,16.348882331208213,16.16079519034591,Point Conception SMR
2068,15.77743805746357,15.87881101700455,15.676065097922589,Point Conception SMR
2069,16.45382017678651,16.544642972218167,16.362997381354855,Point Conception SMR
2070,16.614986104549764,16.716713429089467,16.51325878001006,Point Conception SMR
2071,17.461933768939524,17.56421061176076,17.359656926118287,Point Conception SMR
2072,17.081334663994426,17.177472058808647,16.985197269180205,Point Conception SMR
2073,15.894737740866702,15.989596625064427,15.799878856668975,Point Conception SMR
2074,16.38453976056428,16.500246737354733,16.268832783773828,Point Conception SMR
2075,16.304395091444654,16.34546411810934,16.263326064779967,Point Conception SMR
2076,15.696588314654072,15.802491357516082,15.590685271792063,Point Conception SMR
2077,16.455906591544036,16.55414191183682,16.357671271251252,Point Conception SMR
2078,16.859606328277813,16.933565482099848,16.78564717445578,Point Conception SMR
2079,17.306146867243008,17.411589918410073,17.20070381607594,Point Conception SMR
2080,16.482799633574427,16.5977857968858,16.367813470263055,Point Conception SMR
2081,17.421466963343214,17.512532571119305,17.330401355567123,Point Conception SMR
2082,16.82242407133039,16.917266015837075,16.7275821268237,Point Conception SMR
2083,17.482187357197,17.57709831865699,17.387276395737008,Point Conception SMR
2084,17.155864741355735,17.255925486504044,17.055803996207427,Point Conception SMR
2085,17.18025644507219,17.270667391638934,17.08984549850544,Point Conception SMR
2086,17.009320509127935,17.104574989056008,16.914066029199862,Point Conception SMR
2087,15.822021364787552,15.928497404505848,15.715545325069257,Point Conception SMR
2088,15.116754434323756,15.207860430883494,15.02564843776402,Point Conception SMR
2089,16.78935402302803,16.87989918387048,16.698808862185576,Point Conception SMR
2090,16.62771074956742,16.736362137453202,16.519059361681634,Point Conception SMR
2091,16.405692176418583,16.475374732360283,16.336009620476883,Point Conception SMR
2092,17.046089161142362,17.143994306657323,16.9481840156274,Point Conception SMR
2093,18.02879796878429,18.138771873765858,17.91882406380272,Point Conception SMR
2094,16.663350472545762,16.749166229307352,16.57753471578417,Point Conception SMR
2095,16.933535262494132,17.02266976330895,16.84440076167931,Point Conception SMR
2096,17.038524106981924,17.144397662647986,16.932650551315863,Point Conception SMR
2097,18.585987737663935,18.67143027638916,18.500545198938713,Point Conception SMR
2098,18.719519315791256,18.83491788328585,18.604120748296662,Point Conception SMR
2099,17.263224945782945,17.361175670986242,17.165274220579644,Point Conception SMR
2100,16.88850076153384,16.98990136873616,16.78710015433152,Point Conception SMR
1980,16.959870413146675,16.98273169989351,16.937009126399843,Point Dume SMR
1981,17.244041894010515,17.256027074073064,17.232056713947962,Point Dume SMR
1982,16.42260847288771,16.42971362251058,16.415503323264844,Point Dume SMR
1983,16.433896241257635,16.473155628644577,16.394636853870697,Point Dume SMR
1984,17.37450364277722,17.383546097607738,17.365461187946703,Point Dume SMR
1985,17.28857390718042,17.311067833714567,17.26607998064628,Point Dume SMR
1986,17.22368571623975,17.245051893368654,17.202319539110846,Point Dume SMR
1987,17.184434533998946,17.216780720414828,17.152088347583064,Point Dume SMR
1988,16.7454851256062,16.758425018257036,16.73254523295537,Point Dume SMR
1989,17.57720447119476,17.592116381502617,17.562292560886902,Point Dume SMR
1990,16.890807862221926,16.909525987348847,16.87208973709501,Point Dume SMR
1991,17.0620211727755,17.072090720089232,17.051951625461765,Point Dume SMR
1992,15.78882639608721,15.805703683959962,15.771949108214455,Point Dume SMR
1993,16.46752764839488,16.490542623519634,16.44451267327013,Point Dume SMR
1994,17.55391775583428,17.557195467034756,17.550640044633806,Point Dume SMR
1995,17.18782838900776,17.193570077531103,17.182086700484415,Point Dume SMR
1996,16.933848571482322,16.94886624686688,16.918830896097763,Point Dume SMR
1997,16.99373895085403,17.03504856876121,16.952429332946853,Point Dume SMR
1998,17.747200148909275,17.784144984783687,17.710255313034864,Point Dume SMR
1999,18.298881789331055,18.345785057499402,18.25197852116271,Point Dume SMR
2000,17.520909942659024,17.561493815971783,17.48032606934627,Point Dume SMR
2001,17.8543701349915,17.859374649419927,17.849365620563066,Point Dume SMR
2002,17.393039151900993,17.42295651869909,17.363121785102894,Point Dume SMR
2003,18.152088516006273,18.201255231593596,18.10292180041895,Point Dume SMR
2004,16.616303980071205,16.631331275640665,16.601276684501745,Point Dume SMR
2005,16.941887262610617,16.9592515226956,16.924523002525635,Point Dume SMR
2006,17.646112602682802,17.682365877002713,17.60985932836289,Point Dume SMR
2007,17.258986412072336,17.270145170013745,17.247827654130926,Point Dume SMR
