time,chlorophyll
1996-10-31,19.54768
1996-11-30,3.8977213
1996-12-31,1.8243033
1997-01-31,1.949943
1997-02-28,3.9911127
1997-03-31,7.4312334
1997-04-30,4.9922395
1997-05-31,4.1860323
1997-06-30,5.1910143
1997-07-31,
1997-08-31,
1997-09-30,2.3063629
1997-10-31,1.323044
1997-11-30,0.53675604
1997-12-31,0.5476753
1998-01-31,0.59442234
1998-02-28,2.6916244
1998-03-31,1.5052338
1998-04-30,3.5837326
1998-05-31,1.9978873
1998-06-30,1.558129
1998-07-31,4.550141
1998-08-31,1.8239433
1998-09-30,2.4772904
1998-10-31,2.5460246
1998-11-30,1.0650089
1998-12-31,1.7437587
1999-01-31,1.1211123
1999-02-28,5.879572
1999-03-31,4.120786
1999-04-30,2.3338754
1999-05-31,3.1924984
1999-06-30,9.075286
1999-07-31,3.9505904
1999-08-31,7.0052476
1999-09-30,2.5856543
1999-10-31,3.696515
1999-11-30,1.4797747
1999-12-31,3.1521795
2000-01-31,1.0999933
2000-02-29,1.7100313
2000-03-31,6.4947133
2000-04-30,4.4376507
2000-05-31,11.280496
2000-06-30,7.7230897
2000-07-31,4.993086
2000-08-31,4.3129053
2000-09-30,2.6756837
2000-10-31,1.786607
2000-11-30,2.1287248
2000-12-31,1.1502314
2001-01-31,0.9951329
2001-02-28,1.6752827
2001-03-31,4.095499
2001-04-30,9.489521
2001-05-31,8.41851
2001-06-30,5.61281
2001-07-31,4.722802
2001-08-31,9.378631
2001-09-30,5.911602
2001-10-31,3.2657385
2001-11-30,1.0906014
2001-12-31,1.3780798
2002-01-31,1.9364136
2002-02-28,2.107065
2002-03-31,1.9647493
2002-04-30,9.462068
2002-05-31,9.737111
2002-06-30,2.272422
2002-07-31,2.6761556
2002-08-31,7.2316732
2002-09-30,8.560274
2002-10-31,3.144818
2002-11-30,5.1698885
2002-12-31,0.9360782
2003-01-31,1.3397949
2003-02-28,1.9512534
2003-03-31,10.872784
2003-04-30,6.2114086
2003-05-31,4.421788
2003-06-30,9.133676
2003-07-31,8.140778
2003-08-31,5.481604
2003-09-30,7.723272
2003-10-31,9.951201
2003-11-30,1.730889
2003-12-31,1.2269775
2004-01-31,2.007475
2004-02-29,2.3952336
2004-03-31,8.228375
2004-04-30,14.489241
2004-05-31,12.297042
2004-06-30,8.9925375
2004-07-31,3.4084353
2004-08-31,2.3363051
2004-09-30,7.7896657
2004-10-31,5.6266203
2004-11-30,3.4379032
2004-12-31,1.1697465
2005-01-31,1.4356834
2005-02-28,2.1476405
2005-03-31,2.8109815
2005-04-30,8.077271
2005-05-31,4.6791162
2005-06-30,13.380193
2005-07-31,4.7837367
2005-08-31,5.4301386
2005-09-30,9.895209
2005-10-31,14.733938
2005-11-30,14.859949
2005-12-31,5.5173883
2006-01-31,5.5061383
2006-02-28,4.324914
2006-03-31,6.9783754
2006-04-30,4.332441
2006-05-31,12.421903
2006-06-30,4.6855626
2006-07-31,5.7512174
2006-08-31,5.1871324
2006-09-30,9.8232355
2006-10-31,4.599446
2006-11-30,4.538598
2006-12-31,2.1820548
2007-01-31,1.2195594
2007-02-28,1.4596916
2007-03-31,9.465924
2007-04-30,3.429336
2007-05-31,13.971122
2007-06-30,10.106239
2007-07-31,5.218105
2007-08-31,6.6988897
2007-09-30,9.922261
2007-10-31,8.111037
2007-11-30,2.3442326
2007-12-31,2.537932
2008-01-31,1.5452272
2008-02-29,2.0100718
2008-03-31,8.36511
2008-04-30,12.5366745
2008-05-31,6.2523785
2008-06-30,5.158096
2008-07-31,4.065851
2008-08-31,5.7794185
2008-09-30,2.8443892
2008-10-31,4.2376585
2008-11-30,1.9659585
2008-12-31,1.0741603
2009-01-31,1.6409566
2009-02-28,1.5075688
2009-03-31,4.0973115
2009-04-30,8.140809
2009-05-31,7.0160527
2009-06-30,5.6144776
2009-07-31,3.4658763
2009-08-31,3.7907407
2009-09-30,9.214754
2009-10-31,5.8311048
2009-11-30,5.486542
2009-12-31,1.9017339
2010-01-31,1.9776462
2010-02-28,1.837243
2010-03-31,7.2137237
2010-04-30,7.816294
2010-05-31,5.576952
